模型,变量,系数,标准误,p值,95%CI下限,95%CI上限
基础模型,Intercept,-2.6152028861073804,0.029315205722542887,0.0,-2.672659633522947,-2.557746138691814
基础模型,week_c,0.16675709147418002,0.011430573251159986,3.315013351428992e-48,0.14435357957925954,0.1891606033691005
基础模型,week_c2,0.04276079010202063,0.009432384863603099,5.80412683718418e-06,0.024273655481037805,0.06124792472300345
基础模型,bmi_c,-0.07191396055746478,0.023789790177375026,0.00250371783174877,-0.11854109250488458,-0.025286828610044984
基础模型,week_c:bmi_c,0.00843099538089915,0.008769946328973786,0.3363757869418106,-0.008757783570238733,0.02561977433203703
扩展模型,Intercept,-2.6107638349245166,0.029036136213524837,0.0,-2.6676736161532246,-2.5538540536958085
扩展模型,week_c,0.16478932325215662,0.011343614223528663,8.165461071129339e-48,0.14255624791952415,0.18702239858478908
扩展模型,week_c2,0.04080510965710807,0.0093319378537109,1.2275877991805582e-05,0.02251484755786869,0.05909537175634745
扩展模型,bmi_c,-0.06815150015913789,0.02355731340048107,0.003815713701260028,-0.11432298599660357,-0.021980014321672202
扩展模型,week_c:bmi_c,0.005891853601733262,0.008674169744396719,0.49698503633479607,-0.011109206693071312,0.022892913896537838
扩展模型,age_c,-0.044241099008379275,0.027720245956142323,0.11049212409135405,-0.0985717827250103,0.010089584708251755
扩展模型,height_c,-0.056803904455872065,0.027946463625858415,0.04209323195286361,-0.11157796665781321,-0.002029842253930922
扩展模型,ivf,-0.03012552110736023,0.22640485595100904,0.8941456113798855,-0.4738708846963169,0.41361984248159644
扩展模型,log_unique_c,-0.037253020334560835,0.00937911651947314,7.129822313855522e-05,-0.05563575091953285,-0.018870289749588817
扩展模型,map_c,-0.008282727063087178,0.00917034034824154,0.3664153798380948,-0.026256263871615095,0.009690809745440739
扩展模型,gc_c,0.02070121292512097,0.009400692029928827,0.027658628582072638,0.0022761951167077354,0.039126230733534204
