repeat,converged,week_c,week_c2,bmi_c,week_c:bmi_c,随机截距方差,随机截距退化
1,True,0.1599051459525902,0.0380428423641832,-0.11410616930345449,0.005876319879118796,0.16193058214649092,False
2,True,0.1442082536076244,0.05514339259372304,-0.11223075036181078,0.03239856490934271,0.17891353791274128,False
3,True,0.16790437534559238,0.052328171714373685,-0.05731863999912358,0.013522099574415854,0.1937236325569825,False
4,True,0.1620089821957918,0.026851119955919652,-0.08254999533579498,-0.0006854657596081229,0.15325235207788068,False
5,True,0.16958919380151088,0.0331573189365658,-0.08343258873618717,0.01866971731295715,0.19149330469481501,False
6,True,0.15752865112880574,0.0470300755352362,-0.11980462380052284,0.01110794044964088,0.185260435443393,False
7,True,0.18059114915239186,0.04519999931702204,-0.06140819810400434,-0.006679156071523906,0.2038806326750448,False
8,True,0.14714513649675864,0.04477818369342078,-0.05654910990475199,-0.006069158709139603,0.19582783752320523,False
9,True,0.16979674659427096,0.04029716850155484,-0.08145188420243203,-0.0028794926219103192,0.1792622631134831,False
10,True,0.18907397963698838,0.03660678750367405,-0.08505461261317407,0.02549776041037043,0.18288562576344503,False
