Bootstrap门槛,重复折门槛,重复4_4门槛,可行方案,最早可行方案
0.95,0.85,0.5,16/18|18/22,16/18
0.95,0.85,0.7,16/18|18/22,16/18
0.95,0.85,0.8,18/22,18/22
0.95,0.85,0.9,18/22,18/22
0.95,0.85,1.0,18/22,18/22
0.95,0.9,0.5,16/18|18/22,16/18
0.95,0.9,0.7,16/18|18/22,16/18
0.95,0.9,0.8,18/22,18/22
0.95,0.9,0.9,18/22,18/22
0.95,0.9,1.0,18/22,18/22
0.95,0.95,0.5,18/22,18/22
0.95,0.95,0.7,18/22,18/22
0.95,0.95,0.8,18/22,18/22
0.95,0.95,0.9,18/22,18/22
0.95,0.95,1.0,18/22,18/22
0.95,0.99,0.5,18/22,18/22
0.95,0.99,0.7,18/22,18/22
0.95,0.99,0.8,18/22,18/22
0.95,0.99,0.9,18/22,18/22
0.95,0.99,1.0,18/22,18/22
0.95,1.0,0.5,18/22,18/22
0.95,1.0,0.7,18/22,18/22
0.95,1.0,0.8,18/22,18/22
0.95,1.0,0.9,18/22,18/22
0.95,1.0,1.0,18/22,18/22
0.975,0.85,0.5,16/18|18/22,16/18
0.975,0.85,0.7,16/18|18/22,16/18
0.975,0.85,0.8,18/22,18/22
0.975,0.85,0.9,18/22,18/22
0.975,0.85,1.0,18/22,18/22
0.975,0.9,0.5,16/18|18/22,16/18
0.975,0.9,0.7,16/18|18/22,16/18
0.975,0.9,0.8,18/22,18/22
0.975,0.9,0.9,18/22,18/22
0.975,0.9,1.0,18/22,18/22
0.975,0.95,0.5,18/22,18/22
0.975,0.95,0.7,18/22,18/22
0.975,0.95,0.8,18/22,18/22
0.975,0.95,0.9,18/22,18/22
0.975,0.95,1.0,18/22,18/22
0.975,0.99,0.5,18/22,18/22
0.975,0.99,0.7,18/22,18/22
0.975,0.99,0.8,18/22,18/22
0.975,0.99,0.9,18/22,18/22
0.975,0.99,1.0,18/22,18/22
0.975,1.0,0.5,18/22,18/22
0.975,1.0,0.7,18/22,18/22
0.975,1.0,0.8,18/22,18/22
0.975,1.0,0.9,18/22,18/22
0.975,1.0,1.0,18/22,18/22
0.99,0.85,0.5,16/18|18/22,16/18
0.99,0.85,0.7,16/18|18/22,16/18
0.99,0.85,0.8,18/22,18/22
0.99,0.85,0.9,18/22,18/22
0.99,0.85,1.0,18/22,18/22
0.99,0.9,0.5,16/18|18/22,16/18
0.99,0.9,0.7,16/18|18/22,16/18
0.99,0.9,0.8,18/22,18/22
0.99,0.9,0.9,18/22,18/22
0.99,0.9,1.0,18/22,18/22
0.99,0.95,0.5,18/22,18/22
0.99,0.95,0.7,18/22,18/22
0.99,0.95,0.8,18/22,18/22
0.99,0.95,0.9,18/22,18/22
0.99,0.95,1.0,18/22,18/22
0.99,0.99,0.5,18/22,18/22
0.99,0.99,0.7,18/22,18/22
0.99,0.99,0.8,18/22,18/22
0.99,0.99,0.9,18/22,18/22
0.99,0.99,1.0,18/22,18/22
0.99,1.0,0.5,18/22,18/22
0.99,1.0,0.7,18/22,18/22
0.99,1.0,0.8,18/22,18/22
0.99,1.0,0.9,18/22,18/22
0.99,1.0,1.0,18/22,18/22
0.995,0.85,0.5,16/18|18/22,16/18
0.995,0.85,0.7,16/18|18/22,16/18
0.995,0.85,0.8,18/22,18/22
0.995,0.85,0.9,18/22,18/22
0.995,0.85,1.0,18/22,18/22
0.995,0.9,0.5,16/18|18/22,16/18
0.995,0.9,0.7,16/18|18/22,16/18
0.995,0.9,0.8,18/22,18/22
0.995,0.9,0.9,18/22,18/22
0.995,0.9,1.0,18/22,18/22
0.995,0.95,0.5,18/22,18/22
0.995,0.95,0.7,18/22,18/22
0.995,0.95,0.8,18/22,18/22
0.995,0.95,0.9,18/22,18/22
0.995,0.95,1.0,18/22,18/22
0.995,0.99,0.5,18/22,18/22
0.995,0.99,0.7,18/22,18/22
0.995,0.99,0.8,18/22,18/22
0.995,0.99,0.9,18/22,18/22
0.995,0.99,1.0,18/22,18/22
0.995,1.0,0.5,18/22,18/22
0.995,1.0,0.7,18/22,18/22
0.995,1.0,0.8,18/22,18/22
0.995,1.0,0.9,18/22,18/22
0.995,1.0,1.0,18/22,18/22
1.0,0.85,0.5,18/22,18/22
1.0,0.85,0.7,18/22,18/22
1.0,0.85,0.8,18/22,18/22
1.0,0.85,0.9,18/22,18/22
1.0,0.85,1.0,18/22,18/22
1.0,0.9,0.5,18/22,18/22
1.0,0.9,0.7,18/22,18/22
1.0,0.9,0.8,18/22,18/22
1.0,0.9,0.9,18/22,18/22
1.0,0.9,1.0,18/22,18/22
1.0,0.95,0.5,18/22,18/22
1.0,0.95,0.7,18/22,18/22
1.0,0.95,0.8,18/22,18/22
1.0,0.95,0.9,18/22,18/22
1.0,0.95,1.0,18/22,18/22
1.0,0.99,0.5,18/22,18/22
1.0,0.99,0.7,18/22,18/22
1.0,0.99,0.8,18/22,18/22
1.0,0.99,0.9,18/22,18/22
1.0,0.99,1.0,18/22,18/22
1.0,1.0,0.5,18/22,18/22
1.0,1.0,0.7,18/22,18/22
1.0,1.0,0.8,18/22,18/22
1.0,1.0,0.9,18/22,18/22
1.0,1.0,1.0,18/22,18/22
