准确性权重,连续等待权重,不稳定权重,胜出方案,最小综合风险
0.0,0.0,1.0,18/22,0.0
0.0,0.01,0.99,18/22,0.004127875869448903
0.0,0.02,0.98,18/22,0.008255751738897806
0.0,0.03,0.97,18/22,0.01238362760834671
0.0,0.04,0.96,18/22,0.016511503477795612
0.0,0.05,0.95,18/22,0.020639379347244517
0.0,0.06,0.94,18/22,0.02476725521669342
0.0,0.07,0.9299999999999999,18/22,0.028895131086142323
0.0,0.08,0.92,18/22,0.033023006955591225
0.0,0.09,0.91,18/22,0.03715088282504013
0.0,0.1,0.9,18/22,0.041278758694489034
0.0,0.11,0.89,18/22,0.04540663456393793
0.0,0.12,0.88,18/22,0.04953451043338684
0.0,0.13,0.87,18/22,0.05366238630283574
0.0,0.14,0.86,18/22,0.05779026217228465
0.0,0.15,0.85,18/22,0.061918138041733545
0.0,0.16,0.84,18/22,0.06604601391118245
0.0,0.17,0.83,18/22,0.07017388978063135
0.0,0.18,0.8200000000000001,18/22,0.07430176565008026
0.0,0.19,0.81,18/22,0.07842964151952916
0.0,0.2,0.8,18/22,0.08255751738897807
0.0,0.21,0.79,18/22,0.08668539325842696
0.0,0.22,0.78,18/22,0.09081326912787586
0.0,0.23,0.77,18/22,0.09494114499732478
0.0,0.24,0.76,18/22,0.09906902086677367
0.0,0.25,0.75,18/22,0.10319689673622258
0.0,0.26,0.74,18/22,0.10732477260567148
0.0,0.27,0.73,16/18,0.10916918138041731
0.0,0.28,0.72,16/18,0.11099026217228464
0.0,0.29,0.71,16/18,0.11281134296415192
0.0,0.3,0.7,16/18,0.11463242375601923
0.0,0.31,0.69,16/18,0.11645350454788654
0.0,0.32,0.6799999999999999,16/18,0.11827458533975385
0.0,0.33,0.6699999999999999,16/18,0.12009566613162115
0.0,0.34,0.6599999999999999,16/18,0.12191674692348847
0.0,0.35000000000000003,0.6499999999999999,16/18,0.12373782771535578
0.0,0.36,0.64,16/18,0.1255589085072231
0.0,0.37,0.63,16/18,0.1273799892990904
0.0,0.38,0.62,16/18,0.12920107009095771
0.0,0.39,0.61,16/18,0.131022150882825
0.0,0.4,0.6,16/18,0.13284323167469234
0.0,0.41000000000000003,0.59,16/18,0.13466431246655963
0.0,0.42,0.5800000000000001,16/18,0.13648539325842693
0.0,0.43,0.5700000000000001,16/18,0.13830647405029425
0.0,0.44,0.56,16/18,0.14012755484216155
0.0,0.45,0.55,16/18,0.14194863563402887
0.0,0.46,0.54,16/18,0.14376971642589617
0.0,0.47000000000000003,0.53,16/18,0.1455907972177635
0.0,0.48,0.52,16/18,0.1474118780096308
0.0,0.49,0.51,16/18,0.1492329588014981
0.0,0.5,0.5,16/18,0.15105403959336539
0.0,0.51,0.49,16/18,0.1528751203852327
0.0,0.52,0.48,16/18,0.1546962011771
0.0,0.53,0.47,16/18,0.15651728196896733
0.0,0.54,0.45999999999999996,16/18,0.15833836276083463
0.0,0.55,0.44999999999999996,16/18,0.16015944355270195
0.0,0.56,0.43999999999999995,16/18,0.16198052434456928
0.0,0.5700000000000001,0.42999999999999994,16/18,0.16380160513643657
0.0,0.58,0.42000000000000004,16/18,0.16562268592830384
0.0,0.59,0.41000000000000003,16/18,0.16744376672017117
0.0,0.6,0.4,16/18,0.16926484751203846
0.0,0.61,0.39,16/18,0.1710859283039058
0.0,0.62,0.38,16/18,0.1729070090957731
0.0,0.63,0.37,16/18,0.1747280898876404
0.0,0.64,0.36,16/18,0.17654917067950773
0.0,0.65,0.35,16/18,0.17837025147137503
0.0,0.66,0.33999999999999997,15/18,0.17962985553772068
0.0,0.67,0.32999999999999996,15/18,0.17977576243980736
0.0,0.68,0.31999999999999995,15/18,0.17992166934189405
0.0,0.6900000000000001,0.30999999999999994,15/18,0.18006757624398073
0.0,0.7000000000000001,0.29999999999999993,15/18,0.1802134831460674
0.0,0.71,0.29000000000000004,15/18,0.18035939004815407
0.0,0.72,0.28,15/18,0.18050529695024073
0.0,0.73,0.27,15/18,0.1806512038523274
0.0,0.74,0.26,15/18,0.18079711075441407
0.0,0.75,0.25,15/18,0.18094301765650078
0.0,0.76,0.24,15/18,0.18108892455858747
0.0,0.77,0.22999999999999998,15/18,0.18123483146067412
0.0,0.78,0.21999999999999997,15/18,0.1813807383627608
0.0,0.79,0.20999999999999996,15/18,0.18152664526484746
0.0,0.8,0.19999999999999996,15/18,0.18167255216693418
0.0,0.81,0.18999999999999995,15/18,0.18181845906902083
0.0,0.8200000000000001,0.17999999999999994,15/18,0.18196436597110752
0.0,0.8300000000000001,0.16999999999999993,15/18,0.18211027287319417
0.0,0.84,0.16000000000000003,15/18,0.18225617977528086
0.0,0.85,0.15000000000000002,15/18,0.18240208667736754
0.0,0.86,0.14,15/18,0.18254799357945423
0.0,0.87,0.13,15/18,0.1826939004815409
0.0,0.88,0.12,15/18,0.18283980738362757
0.0,0.89,0.10999999999999999,15/18,0.18298571428571425
0.0,0.9,0.09999999999999998,15/18,0.1831316211878009
0.0,0.91,0.08999999999999997,15/18,0.18327752808988762
0.0,0.92,0.07999999999999996,15/18,0.18342343499197428
0.0,0.93,0.06999999999999995,15/18,0.18356934189406096
0.0,0.9400000000000001,0.05999999999999994,15/18,0.18371524879614765
0.0,0.9500000000000001,0.04999999999999993,15/18,0.1838611556982343
0.0,0.96,0.040000000000000036,15/18,0.184007062600321
0.0,0.97,0.030000000000000027,15/18,0.18415296950240764
0.0,0.98,0.020000000000000018,15/18,0.18429887640449436
0.0,0.99,0.010000000000000009,15/18,0.184444783306581
0.0,1.0,0.0,15/18,0.1845906902086677
0.01,0.0,0.99,18/22,0.000445375710434619
0.01,0.01,0.98,18/22,0.004573251579883522
0.01,0.02,0.97,18/22,0.008701127449332425
0.01,0.03,0.96,18/22,0.012829003318781328
0.01,0.04,0.95,18/22,0.01695687918823023
0.01,0.05,0.94,18/22,0.021084755057679136
0.01,0.06,0.9299999999999999,18/22,0.025212630927128037
0.01,0.07,0.9199999999999999,18/22,0.029340506796576942
0.01,0.08,0.91,18/22,0.033468382666025843
0.01,0.09,0.9,18/22,0.03759625853547475
0.01,0.1,0.89,18/22,0.04172413440492365
0.01,0.11,0.88,18/22,0.04585201027437255
0.01,0.12,0.87,18/22,0.049979886143821456
0.01,0.13,0.86,18/22,0.05410776201327036
0.01,0.14,0.85,18/22,0.058235637882719266
0.01,0.15,0.84,18/22,0.06236351375216816
0.01,0.16,0.83,18/22,0.06649138962161708
0.01,0.17,0.82,18/22,0.07061926549106598
0.01,0.18,0.81,18/22,0.07474714136051488
0.01,0.19,0.8,18/22,0.07887501722996379
0.01,0.2,0.79,18/22,0.0830028930994127
0.01,0.21,0.78,18/22,0.08713076896886159
0.01,0.22,0.77,18/22,0.09125864483831049
0.01,0.23,0.76,18/22,0.09538652070775941
0.01,0.24,0.75,18/22,0.0995143965772083
0.01,0.25,0.74,18/22,0.1036422724466572
0.01,0.26,0.73,16/18,0.10750386002797396
0.01,0.27,0.72,16/18,0.10932494081984126
0.01,0.28,0.71,16/18,0.11114602161170858
0.01,0.29,0.7,16/18,0.11296710240357587
0.01,0.3,0.69,16/18,0.11478818319544318
0.01,0.31,0.6799999999999999,16/18,0.1166092639873105
0.01,0.32,0.6699999999999999,16/18,0.1184303447791778
0.01,0.33,0.6599999999999999,16/18,0.12025142557104511
0.01,0.34,0.6499999999999999,16/18,0.12207250636291242
0.01,0.35000000000000003,0.6399999999999999,16/18,0.12389358715477973
0.01,0.36,0.63,16/18,0.12571466794664704
0.01,0.37,0.62,16/18,0.12753574873851434
0.01,0.38,0.61,16/18,0.12935682953038166
0.01,0.39,0.6,16/18,0.13117791032224896
0.01,0.4,0.59,16/18,0.13299899111411628
0.01,0.41000000000000003,0.58,16/18,0.13482007190598358
0.01,0.42,0.5700000000000001,16/18,0.13664115269785088
0.01,0.43,0.56,16/18,0.1384622334897182
0.01,0.44,0.55,16/18,0.14028331428158552
0.01,0.45,0.54,16/18,0.1421043950734528
0.01,0.46,0.53,16/18,0.14392547586532012
0.01,0.47000000000000003,0.52,16/18,0.14574655665718744
0.01,0.48,0.51,16/18,0.14756763744905474
0.01,0.49,0.5,16/18,0.14938871824092204
0.01,0.5,0.49,16/18,0.15120979903278936
0.01,0.51,0.48,16/18,0.15303087982465666
0.01,0.52,0.47,16/18,0.15485196061652398
0.01,0.53,0.45999999999999996,16/18,0.15667304140839128
0.01,0.54,0.44999999999999996,16/18,0.1584941222002586
0.01,0.55,0.43999999999999995,16/18,0.16031520299212593
0.01,0.56,0.42999999999999994,16/18,0.16213628378399322
0.01,0.5700000000000001,0.41999999999999993,16/18,0.16395736457586055
0.01,0.58,0.41000000000000003,16/18,0.16577844536772782
0.01,0.59,0.4,16/18,0.1675995261595951
0.01,0.6,0.39,16/18,0.16942060695146244
0.01,0.61,0.38,16/18,0.17124168774332976
0.01,0.62,0.37,16/18,0.17306276853519706
0.01,0.63,0.36,16/18,0.17488384932706438
0.01,0.64,0.35,16/18,0.17670493011893168
0.01,0.65,0.33999999999999997,16/18,0.178526010910799
0.01,0.66,0.32999999999999996,15/18,0.17882744777546525
0.01,0.67,0.31999999999999995,15/18,0.17897335467755193
0.01,0.68,0.30999999999999994,15/18,0.1791192615796386
0.01,0.6900000000000001,0.29999999999999993,15/18,0.17926516848172527
0.01,0.7000000000000001,0.2899999999999999,15/18,0.17941107538381193
0.01,0.71,0.28,15/18,0.17955698228589861
0.01,0.72,0.27,15/18,0.17970288918798527
0.01,0.73,0.26,15/18,0.17984879609007198
0.01,0.74,0.25,15/18,0.17999470299215864
0.01,0.75,0.24,15/18,0.18014060989424532
0.01,0.76,0.22999999999999998,15/18,0.180286516796332
0.01,0.77,0.21999999999999997,15/18,0.18043242369841866
0.01,0.78,0.20999999999999996,15/18,0.18057833060050538
0.01,0.79,0.19999999999999996,15/18,0.18072423750259203
0.01,0.8,0.18999999999999995,15/18,0.18087014440467872
0.01,0.81,0.17999999999999994,15/18,0.18101605130676537
0.01,0.8200000000000001,0.16999999999999993,15/18,0.18116195820885206
0.01,0.8300000000000001,0.15999999999999992,15/18,0.18130786511093872
0.01,0.84,0.15000000000000002,15/18,0.1814537720130254
0.01,0.85,0.14,15/18,0.1815996789151121
0.01,0.86,0.13,15/18,0.18174558581719877
0.01,0.87,0.12,15/18,0.18189149271928545
0.01,0.88,0.10999999999999999,15/18,0.1820373996213721
0.01,0.89,0.09999999999999998,15/18,0.1821833065234588
0.01,0.9,0.08999999999999997,15/18,0.18232921342554548
0.01,0.91,0.07999999999999996,15/18,0.18247512032763216
0.01,0.92,0.06999999999999995,15/18,0.18262102722971882
0.01,0.93,0.05999999999999994,15/18,0.1827669341318055
0.01,0.9400000000000001,0.04999999999999993,15/18,0.1829128410338922
0.01,0.9500000000000001,0.039999999999999925,15/18,0.18305874793597887
0.01,0.96,0.030000000000000027,15/18,0.18320465483806553
0.01,0.97,0.020000000000000018,15/18,0.1833505617401522
0.01,0.98,0.010000000000000009,15/18,0.1834964686422389
0.01,0.99,0.0,15/18,0.18364237554432555
0.02,0.0,0.98,18/22,0.000890751420869238
0.02,0.01,0.97,18/22,0.005018627290318141
0.02,0.02,0.96,18/22,0.009146503159767044
0.02,0.03,0.95,18/22,0.013274379029215947
0.02,0.04,0.94,18/22,0.01740225489866485
0.02,0.05,0.9299999999999999,18/22,0.021530130768113755
0.02,0.06,0.9199999999999999,18/22,0.025658006637562656
0.02,0.07,0.9099999999999999,18/22,0.02978588250701156
0.02,0.08,0.9,18/22,0.03391375837646046
0.02,0.09,0.89,18/22,0.03804163424590937
0.02,0.1,0.88,18/22,0.04216951011535827
0.02,0.11,0.87,18/22,0.04629738598480717
0.02,0.12,0.86,18/22,0.050425261854256075
0.02,0.13,0.85,18/22,0.05455313772370498
0.02,0.14,0.84,18/22,0.058681013593153884
0.02,0.15,0.83,18/22,0.06280888946260278
0.02,0.16,0.82,18/22,0.06693676533205169
0.02,0.17,0.8099999999999999,18/22,0.07106464120150059
0.02,0.18,0.8,18/22,0.0751925170709495
0.02,0.19,0.79,18/22,0.0793203929403984
0.02,0.2,0.78,18/22,0.0834482688098473
0.02,0.21,0.77,18/22,0.0875761446792962
0.02,0.22,0.76,18/22,0.0917040205487451
0.02,0.23,0.75,18/22,0.09583189641819402
0.02,0.24,0.74,18/22,0.09995977228764291
0.02,0.25,0.73,18/22,0.10408764815709182
0.02,0.26,0.72,16/18,0.10765961946739791
