outer_fold,最大可行组数,组数,切点,推荐孕周,开发组人数,开发平均孕周,开发最低LCB
0,6,1,,19,200,19.0,0.9515546772309522
0,6,2,35.365688,18|23,170|30,18.75,0.9503282105190943
0,6,3,31.686783|34.055530,17|19|22,100|50|50,18.75,0.950056587697593
0,6,4,31.686783|33.300511|35.365688,17|19|20|23,100|33|37|30,18.785,0.9500901664293065
0,6,5,29.441719|30.647676|32.012425|34.055530,17|17|18|19|22,31|39|37|43|50,18.865,0.950056587697593
0,6,6,29.441719|30.647676|31.888107|33.362716|35.330226,17|17|18|19|20|23,31|39|34|31|34|31,18.92,0.9500865788399208
1,6,1,,20,200,20.0,0.956352760480601
1,6,2,35.170717,19|23,170|30,19.6,0.9533177355429046
1,6,3,29.840854|32.656938,19|18|21,37|83|80,19.385,0.9500338905068292
1,6,4,29.740408|31.405972|34.077928,19|18|19|22,30|63|58|49,19.42,0.9502431930441164
1,6,5,29.740408|31.351281|32.707029|35.170717,19|18|19|20|23,30|62|30|48|30,19.53,0.9501485929850881
1,6,6,29.740408|30.472290|31.351281|32.707029|35.170717,19|19|18|19|20|23,30|31|31|30|48|30,19.685,0.9501485929850881
2,6,1,,19,200,19.0,0.9535576140384582
2,6,2,29.752066,19|19,36|164,19.0,0.950100826191771
2,6,3,29.752066|32.893105,19|18|20,36|94|70,18.88,0.950100826191771
2,6,4,29.752066|31.736002|34.721552,19|18|19|21,36|65|68|31,18.985,0.9500847353710463
2,6,5,29.752066|32.012425|33.210559|34.794155,19|18|19|20|21,36|71|33|30|30,19.095,0.950100826191771
2,6,6,29.443804|30.472290|31.633451|33.210559|34.794155,20|18|18|19|20|21,30|30|38|42|30|30,19.26,0.9500507544299528
3,6,1,,19,201,19.0,0.9593448694316202
3,6,2,32.454460,17|20,120|81,18.208955223880597,0.9501749616936114
3,6,3,32.650819|33.731881,17|19|21,125|30|46,18.213930348258707,0.9500246156990376
3,6,4,29.555954|30.956806|33.731881,17|17|18|21,30|53|72|46,18.27363184079602,0.9500852847225599
3,6,5,29.555954|30.550799|32.104009|33.788756,17|17|17|19|21,30|36|48|43|44,18.303482587064675,0.9501486434950519
3,6,6,29.555954|30.447974|31.351281|32.650819|33.731881,17|17|17|18|19|21,30|30|35|30|30|46,18.36318407960199,0.9500246156990376
