repeat,target,metric,value
0,T13,sensitivity,1.0
0,T13,specificity,0.3202054794520548
0,T13,precision,0.043373493975903614
0,T13,f2,0.18480492813141683
0,T13,pr_auc,0.2125019210001407
0,T13,roc_auc,0.8616818873668188
0,T13,brier,0.02734324934562214
0,T18,sensitivity,0.8863636363636364
0,T18,specificity,0.503584229390681
0,T18,precision,0.12341772151898735
0,T18,f2,0.39634146341463417
0,T18,pr_auc,0.3309834828705193
0,T18,roc_auc,0.7973077549690453
0,T18,brier,0.05953776965577575
0,T21,sensitivity,0.625
0,T21,specificity,0.27986348122866894
0,T21,precision,0.023148148148148147
0,T21,f2,0.10080645161290322
0,T21,pr_auc,0.05221378269668783
0,T21,roc_auc,0.3954778156996587
0,T21,brier,0.02599891447619531
0,any,sensitivity,0.9230769230769231
0,any,specificity,0.4022346368715084
0,any,precision,0.15748031496062992
0,any,f2,0.46801872074882994
0,any,pr_auc,0.4732677261138035
0,any,roc_auc,0.832831972496777
0,any,brier,0.07861030662695917
0,z3_T13,sensitivity,0.05555555555555555
0,z3_T13,specificity,0.9743150684931506
0,z3_T13,precision,0.0625
0,z3_T13,f2,0.056818181818181816
0,z3_T13,pr_auc,0.06114615567073197
0,z3_T13,roc_auc,0.5033295281582952
0,z3_T13,brier,
0,z3_T18,sensitivity,0.0
0,z3_T18,specificity,0.9265232974910395
0,z3_T18,precision,0.0
0,z3_T18,f2,0.0
0,z3_T18,pr_auc,0.074183076782156
0,z3_T18,roc_auc,0.49539752362333
0,z3_T18,brier,
0,z3_T21,sensitivity,0.0
0,z3_T21,specificity,0.9948805460750854
0,z3_T21,precision,0.0
0,z3_T21,f2,0.0
0,z3_T21,pr_auc,0.041187519459662994
0,z3_T21,roc_auc,0.5633532423208192
0,z3_T21,brier,
1,T13,sensitivity,0.78125
1,T13,specificity,0.28942807625649913
1,T13,precision,0.05747126436781609
1,T13,f2,0.22202486678507993
1,T13,pr_auc,0.16621347474839823
1,T13,roc_auc,0.6337738301559792
1,T13,brier,0.04828014319264285
1,T18,sensitivity,0.8888888888888888
1,T18,specificity,0.5171171171171172
1,T18,precision,0.1518987341772152
1,T18,f2,0.45112781954887216
1,T18,pr_auc,0.3984778833850018
1,T18,roc_auc,0.7877043710377043
1,T18,brier,0.06817628932947033
1,T21,sensitivity,0.6923076923076923
1,T21,specificity,0.3523489932885906
1,T21,precision,0.02278481012658228
1,T21,f2,0.10067114093959731
1,T21,pr_auc,0.030373505321201796
1,T21,roc_auc,0.4019101703665462
1,T21,brier,0.020952311059241623
1,any,sensitivity,0.8481012658227848
1,any,specificity,0.4037735849056604
1,any,precision,0.17493472584856398
1,any,f2,0.4792560801144492
1,any,pr_auc,0.4519664969840709
1,any,roc_auc,0.7653451158347265
1,any,brier,0.09484866698398363
1,z3_T13,sensitivity,0.03125
1,z3_T13,specificity,0.975736568457539
1,z3_T13,precision,0.06666666666666667
1,z3_T13,f2,0.03496503496503497
1,z3_T13,pr_auc,0.054376197143269654
1,z3_T13,roc_auc,0.4629549393414212
1,z3_T13,brier,
1,z3_T18,sensitivity,0.0
1,z3_T18,specificity,0.9405405405405406
1,z3_T18,precision,0.0
1,z3_T18,f2,0.0
1,z3_T18,pr_auc,0.08942871518483735
1,z3_T18,roc_auc,0.4767434100767434
1,z3_T18,brier,
1,z3_T21,sensitivity,0.0
1,z3_T21,specificity,0.9949664429530202
1,z3_T21,precision,0.0
1,z3_T21,f2,0.0
1,z3_T21,pr_auc,0.03179587292758218
1,z3_T21,roc_auc,0.5811822405782137
1,z3_T21,brier,
