level,outer_fold,fold,patient_overlap,train_rows,test_rows,train_patients,test_patients,train_positive_records_T13,test_positive_records_T13,train_positive_patients_T13,test_positive_patients_T13,train_positive_records_T18,test_positive_records_T18,train_positive_patients_T18,test_positive_patients_T18,train_positive_records_T21,test_positive_records_T21,train_positive_patients_T21,test_positive_patients_T21,train_positive_records_any,test_positive_records_any,train_positive_patients_any,test_positive_patients_any
outer,-1,0,0,453,152,110,37,18,5,13,5,35,11,22,8,10,3,9,3,52,15,33,11
outer,-1,1,0,454,151,111,36,16,7,15,3,34,12,23,7,9,4,8,4,48,19,33,11
outer,-1,2,0,454,151,110,37,18,5,13,5,35,11,23,7,10,3,9,3,51,16,33,11
outer,-1,3,0,454,151,110,37,17,6,13,5,34,12,22,8,10,3,10,2,50,17,33,11
inner,0,0,0,302,151,74,36,11,7,8,5,24,11,15,7,7,3,6,3,34,18,22,11
inner,0,1,0,302,151,73,37,12,6,8,5,23,12,14,8,7,3,7,2,35,17,22,11
inner,0,2,0,302,151,73,37,13,5,10,3,23,12,15,7,6,4,5,4,35,17,22,11
inner,1,0,0,302,152,73,38,10,6,9,6,23,11,16,7,6,3,5,3,32,16,22,11
inner,1,1,0,303,151,75,36,11,5,10,5,23,11,15,8,6,3,6,2,32,16,22,11
inner,1,2,0,303,151,74,37,11,5,11,4,22,12,15,8,6,3,5,3,32,16,22,11
inner,2,0,0,302,152,73,37,13,5,8,5,23,12,15,8,7,3,6,3,35,16,22,11
inner,2,1,0,303,151,74,36,12,6,9,4,24,11,16,7,7,3,6,3,35,16,22,11
inner,2,2,0,303,151,73,37,11,7,9,4,23,12,15,8,6,4,6,3,32,19,22,11
inner,3,0,0,302,152,73,37,10,7,8,5,22,12,14,8,7,3,7,3,32,18,22,11
inner,3,1,0,303,151,74,36,12,5,10,3,23,11,15,7,6,4,6,4,34,16,22,11
inner,3,2,0,303,151,73,37,12,5,8,5,23,11,15,7,7,3,7,3,34,16,22,11
