label,method,sensitivity,specificity,precision,f2,roc_auc,pr_auc,brier
T13,xgboost,0.8869047619047619,0.3107363341730961,0.05168230891915102,0.2037380293377866,0.7601757436559886,0.19652424172013055,0.03541680791096182
T13,z_fixed_3,0.041666666666666664,0.9672987983573212,0.03571428571428571,0.04032258064516129,0.48265229135269283,0.06718919415984634,
T13,z_tuned,0.8369047619047619,0.18900553785519877,0.038795606552124634,0.16286107245928674,0.48265229135269283,0.06718919415984634,
T18,xgboost,0.8674242424242424,0.5183503349296247,0.13271685761047464,0.40469360792029907,0.8192901357278367,0.4245575447901818,0.05848456773026561
T18,z_fixed_3,0.0,0.9409159906117659,0.0,0.0,0.5171944069502619,0.0882857927537512,
T18,z_tuned,0.8674242424242424,0.21984376025015853,0.08426744823803647,0.3023488760759928,0.5171944069502619,0.0882857927537512,
T21,xgboost,0.8541666666666666,0.30222473535033456,0.026434694429090126,0.11708010127127774,0.5177679134414513,0.04443307879157972,0.021052218534577023
T21,z_fixed_3,0.0,0.9966216216216216,0.0,0.0,0.4851316184010335,0.04733879336578026,
T21,z_tuned,0.8541666666666666,0.20606411438146818,0.02299072283780769,0.10349157474534716,0.4851316184010335,0.04733879336578026,
any,xgboost,0.833704205366357,0.4092891318310754,0.1525087507092151,0.4348604728789678,0.7756429293782168,0.4621617496551149,0.08314336677338062
