outer_fold,label,method,threshold,uncertainty_delta,threshold_mode,platt_used,candidate,train_weight_min,train_weight_max,n,positive,tp,fp,tn,fn,sensitivity,specificity,precision,f2,roc_auc,pr_auc,brier
0,T13,xgboost,0.017625542572083815,0.0033054291555266076,sensitivity_constrained,True,B_conservative,0.5883116883116883,24.88068181818182,152,5,5,147,0,0,1.0,0.0,0.03289473684210526,0.14534883720930233,0.8612244897959183,0.19801587301587303,0.030406305118627897
0,T13,z_tuned,0.305903779,,sensitivity_constrained,False,abs_z,,,152,5,4,108,39,1,0.8,0.2653061224489796,0.03571428571428571,0.15151515151515152,0.6,0.09887950815468038,
0,T13,z_fixed_3,3.0,,fixed,False,abs_z,,,152,5,0,4,143,5,0.0,0.9727891156462585,0.0,0.0,0.6,0.09887950815468038,
0,T18,xgboost,0.04503158718971492,0.013303411442072824,sensitivity_constrained,True,A_shallow,0.5883116883116883,16.394285714285715,152,11,7,43,98,4,0.6363636363636364,0.6950354609929078,0.14,0.3723404255319149,0.726627981947131,0.4521222167364437,0.057113369963571727
0,T18,z_tuned,0.529990437,,sensitivity_constrained,False,abs_z,,,152,11,8,96,45,3,0.7272727272727273,0.3191489361702128,0.07692307692307693,0.2702702702702703,0.3881366860090264,0.06174041380963201,
0,T18,z_fixed_3,3.0,,fixed,False,abs_z,,,152,11,0,7,134,11,0.0,0.950354609929078,0.0,0.0,0.3881366860090264,0.06174041380963201,
0,T21,xgboost,0.020172429651669384,0.0005730347100226657,sensitivity_constrained,True,B_conservative,0.5883116883116883,60.81181818181818,152,3,3,89,60,0,1.0,0.40268456375838924,0.03260869565217391,0.14423076923076922,0.6174496644295302,0.033099191145168155,0.019327118681959507
0,T21,z_tuned,0.264489444,,sensitivity_constrained,False,abs_z,,,152,3,3,110,39,0,1.0,0.26174496644295303,0.02654867256637168,0.12,0.7136465324384788,0.11056998556998557,
0,T21,z_fixed_3,3.0,,fixed,False,abs_z,,,152,3,0,0,149,3,0.0,1.0,0.0,0.0,0.7136465324384788,0.11056998556998557,
0,any,xgboost,0.07990584247016119,0.006649264227324259,sensitivity_constrained,True,probability_union,0.5883116883116883,10.585839160839162,152,15,10,70,67,5,0.6666666666666666,0.48905109489051096,0.125,0.35714285714285715,0.7124087591240875,0.4220779261446759,0.0769088832854862
1,T13,xgboost,0.030693514453957405,0.007774410175597064,sensitivity_constrained,True,A_shallow,0.4544544544544544,111.96621621621621,151,7,5,61,83,2,0.7142857142857143,0.5763888888888888,0.07575757575757576,0.26595744680851063,0.6130952380952381,0.09098409031711643,0.04604624102051682
1,T13,z_tuned,0.31862248849999997,,sensitivity_constrained,False,abs_z,,,151,7,5,111,33,2,0.7142857142857143,0.22916666666666666,0.04310344827586207,0.1736111111111111,0.3313492063492063,0.03712903786646329,
1,T13,z_fixed_3,3.0,,fixed,False,abs_z,,,151,7,0,6,138,7,0.0,0.9583333333333334,0.0,0.0,0.3313492063492063,0.03712903786646329,
1,T18,xgboost,0.04623474848430957,0.012916345765376147,sensitivity_constrained,True,A_shallow,0.4544544544544544,50.52464228934817,151,12,10,55,84,2,0.8333333333333334,0.60431654676259,0.15384615384615385,0.4424778761061947,0.8585131894484412,0.47079325578086056,0.05847995335977225
1,T18,z_tuned,0.1599007215,,sensitivity_constrained,False,abs_z,,,151,12,12,124,15,0,1.0,0.1079136690647482,0.08823529411764706,0.32608695652173914,0.592925659472422,0.10037060591484825,
