"原路径","归档路径","SHA256","原因"
"C题\阶段报告\__pycache__\build_safety_calibration_report_v5.cpython-312.pyc","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\__pycache__\build_safety_calibration_report_v5.cpython-312.pyc","F46751C39607DB096A783B108073C078DFB894290F34C8AF7FBC3C8D7143CCEC","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\__pycache__\build_stage_report.cpython-312.pyc","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\__pycache__\build_stage_report.cpython-312.pyc","DB860C1440CAF9173D308BE1E69926066DC546815F3E2F0D6FD8032132013E4A","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_a11y_final.json","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_a11y_final.json","CE8E7E0461B0000D601F8A56C0A49553A2A736EB7E034E405738C3827B089B9D","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\a11y.json","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\a11y.json","8170053E8311FF1C73BB826FE03EE60EE97D6197D07FE80774BFEDD8C35794F8","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\word\pages\page-1.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\word\pages\page-1.png","2C26E806BAD4749B0F9DD96CB015B5A54F35852B55368FB536103ACDEE32758E","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\word\pages\page-2.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\word\pages\page-2.png","1043A7B6EE2AB0BD6FE22D3AB6EEEBC96F9734652039277149D7305FCCC8F259","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\word\pages\page-3.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\word\pages\page-3.png","96364F0F2B889724D451FFE74E2145DFE6A38CCF0CF721F9B6DAE210A850BD91","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\word\pages\page-4.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\word\pages\page-4.png","2C6176D4A6F7C874845CA5CA086AD8AF5C307F5B841D84ED7CE2216EB8A449FE","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\word\pages\page-5.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\word\pages\page-5.png","C52ED01641ECE9444EFE22F808D1CD6E854507FA05AF5DAA168D90DB47166412","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa_v5\word\pages\page-6.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa_v5\word\pages\page-6.png","1E6583B5BBC55E201789D1CC6EB0CFA26FF6F00ED1F92301BA7A852CDA22BF0F","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\a11y_initial.json","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\a11y_initial.json","CE8E7E0461B0000D601F8A56C0A49553A2A736EB7E034E405738C3827B089B9D","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-1.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-1.png","B696DC347E40F01AC5CEEB872B42839888ECBB57A67F93363BC11D5F2D8A4254","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-2.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-2.png","4AAA96ABC4E19AF5FC3AA959C9A9AB51C44B295BE0DC11A404B2DA62B4DA2819","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-3.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-3.png","A618C1E9A4388BFA0A82136497208B90B4D676406A9CA3C7A47598ABEC9B6299","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-4.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-4.png","D5918E141BCC2E093B4903985767B5D208CDAF123F143FD9361D9824E3417D9B","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-5.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-5.png","E25B45E736181B4140205365A595606900F589CC917A8D8DA129F6E88C0232A0","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-6.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-6.png","041A6E05FB6EEC087B8D4551937F9DC641B4D109A353AD13359D5C46EDA448B3","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-7.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-7.png","4EFE8C4EB527EFDDE873E6DD4E9CB9B89C20D14D7616E3BD6139AFB47BDCC495","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-8.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-8.png","77DCBF5E7513336DBDA95261A985BD7166E6AE82BDA523496F5BF6A9A314EAA9","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\_qa\rendered_pages\page-9.png","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\_qa\rendered_pages\page-9.png","F94611D7827DDC19E7461559A2B6F500F2ABBB41CC039C67595B730D20A3A080","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\build_safety_calibration_report_v5.py","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\build_safety_calibration_report_v5.py","A102FD9972D83A6BDC73599D7C83F3FA2E3BBC5C68537F54F21384D5B9B144C8","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\build_stage_report.py","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\build_stage_report.py","2C416ACB2629D37841A9C537495215E6EC28CD6FEEF0DB0731740D3E719332BF","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\render_v5_with_word.ps1","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\render_v5_with_word.ps1","451DB306AEABE5FF944D82376AC64EA88CCCB7764E128014E24D04F29876AC37","问题2报告统合；旧版或非主入口产物保留归档"
"C题\阶段报告\render_with_word.ps1","C题\_archive\20260824_问题2报告统合\历史报告制作过程\阶段报告\render_with_word.ps1","9F117E158ACD6F209DC5FC964FECCAC87A369C6AF9557856F7793890CF0053B8","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\阶段性报告_v4\材料索引.md","outputs\C题\_archive\20260824_问题2报告统合\历史Word报告\阶段性报告_v4\材料索引.md","1594C27D0E5C7986D5389F94446C9C4309BE017BF7A28C32B1002C801894B751","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\a11y_final.json","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\a11y_final.json","B609063E4757570D888097147E1D7903CCBC39EC75A1E2C83B0E4C51620BEAE8","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\a11y_final2.json","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\a11y_final2.json","5529D4AA73A578146232805CEDBD909EDC89E45BF5C801EE2B812FCAC214EC87","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-1.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-1.png","D9D68A3AC34709E71867B4B2B62E50B31395EE0741F275F5702B0A174258680C","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-2.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-2.png","0A14075439B7C409923F987164D1D8663C9CE2A320CC3CB6C1795FBBD89DB202","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-3.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-3.png","A2CE749D0D8239C1B46667BDA5A4030A5553432B768AED1BE41990A0B0909BCA","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-4.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-4.png","904D53BA453EA60A5F0523ED915A6957D9448391176042BC58C032BCB29F7ADB","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-5.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-5.png","69ADBAC8D002BAF468F35FE819013FA6B5F84F2C0A2161B814A1AEAE5C08C97A","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-6.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-6.png","93DE372F538F7FCF0E64AA5581C09527941B77849FB1D85E4946AC5AC9C4A5BE","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final\page-7.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final\page-7.png","480BFDECE2CC55F2C21583273179B01FCF2DE2BDA41C19B1F664DFD2A5ED59DA","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-1.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-1.png","D9D68A3AC34709E71867B4B2B62E50B31395EE0741F275F5702B0A174258680C","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-2.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-2.png","0A14075439B7C409923F987164D1D8663C9CE2A320CC3CB6C1795FBBD89DB202","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-3.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-3.png","A2CE749D0D8239C1B46667BDA5A4030A5553432B768AED1BE41990A0B0909BCA","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-4.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-4.png","904D53BA453EA60A5F0523ED915A6957D9448391176042BC58C032BCB29F7ADB","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-5.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-5.png","69ADBAC8D002BAF468F35FE819013FA6B5F84F2C0A2161B814A1AEAE5C08C97A","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-6.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-6.png","48D242794BA93DBF8D3F708F97F935959CAB35D85338810F8163C543CB0EC549","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final2\page-7.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final2\page-7.png","0A3BDFFA7906FDA0C1F4D1CFDB958FAE11C7A796B6F2345787FC36D35AFB2755","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-1.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-1.png","D9D68A3AC34709E71867B4B2B62E50B31395EE0741F275F5702B0A174258680C","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-2.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-2.png","0A14075439B7C409923F987164D1D8663C9CE2A320CC3CB6C1795FBBD89DB202","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-3.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-3.png","A2CE749D0D8239C1B46667BDA5A4030A5553432B768AED1BE41990A0B0909BCA","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-4.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-4.png","904D53BA453EA60A5F0523ED915A6957D9448391176042BC58C032BCB29F7ADB","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-5.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-5.png","69ADBAC8D002BAF468F35FE819013FA6B5F84F2C0A2161B814A1AEAE5C08C97A","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-6.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-6.png","48D242794BA93DBF8D3F708F97F935959CAB35D85338810F8163C543CB0EC549","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages_final3\page-7.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages_final3\page-7.png","0A3BDFFA7906FDA0C1F4D1CFDB958FAE11C7A796B6F2345787FC36D35AFB2755","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-1.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-1.png","D9D68A3AC34709E71867B4B2B62E50B31395EE0741F275F5702B0A174258680C","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-2.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-2.png","0A14075439B7C409923F987164D1D8663C9CE2A320CC3CB6C1795FBBD89DB202","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-3.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-3.png","FD4D23B689841D817EC45FF1802AC109BA5E31251A2F782F6DAF879BE9D71E86","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-4.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-4.png","4D11F33260D3390A9BAB1E186A143D8F0D125D5F521FD3B9F76D6C7294A6C45B","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-5.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-5.png","522CFC121DDC75BF8C2B55B79C2F2DFE7F82E264E8749423E7C7FF9202C37F51","问题2报告统合；旧版或非主入口产物保留归档"
"outputs\C题\问题2最终报告_v10\_qa_word\pages\page-6.png","outputs\C题\_archive\20260824_问题2报告统合\问题2v10_QA\_qa_word\pages\page-6.png","3FBB5A70FBE5F4BD18B57639CACDC59C7582F177E9ACF46F05269C438A553491","问题2报告统合；旧版或非主入口产物保留归档"
