重复,胜出组数,胜出切点,胜出推荐孕周,胜出平均孕周,胜出最低审计概率,存在安全方案,1组平均孕周,1组安全,2组平均孕周,2组安全,3组平均孕周,3组安全,4组平均孕周,4组安全
1,2,33.702905,14.285714|17.714286,15.364365971107524,0.891895233747805,True,15.42857142857141,False,15.364365971107524,True,15.321027287319403,True,15.308186195826629,True
2,2,34.315118,14.285714|18.428571,15.108079186730853,0.8922869959843464,True,15.285714285714267,False,15.108079186730853,True,15.103263777421061,True,15.106474050294254,True
3,2,34.440085,14.428571|18.428571,15.267522739432831,0.8950828454764962,True,15.42857142857141,False,15.267522739432831,True,15.224184055644711,True,15.220973782771518,True
4,2,33.234716,14.142857|17.142857,14.996789727126787,0.892365017691654,True,15.142857142857125,False,14.996789727126787,True,14.978063135366488,True,14.968432316746906,True
5,2,34.412473,14.285714|18.285714,14.944890315676814,0.8943867622017341,True,15.142857142857125,False,14.944890315676814,True,14.927233814874247,True,14.927233814874247,True
6,2,32.982974,14.428571|17.000000,15.29534510433385,0.8900240152941342,True,15.285714285714267,False,15.29534510433385,True,15.242910647405012,True,15.231139646869966,True
7,2,34.440085,14.428571|18.142857,15.124130551096826,0.8937094841821096,True,15.285714285714267,False,15.124130551096826,True,15.106474050294256,True,15.097913322632406,True
8,2,32.782882,14.285714|16.714286,15.086142322097361,0.8927758597402287,True,15.142857142857125,False,15.086142322097361,True,15.048154093097898,True,15.049224184055626,True
9,2,34.459301,14.428571|18.000000,15.04387372926697,0.8951907876907043,True,15.142857142857125,False,15.04387372926697,True,15.034777956126254,True,15.03370786516852,True
10,2,34.440085,14.428571|18.142857,15.207597645799874,0.8904207104859614,True,15.285714285714267,False,15.207597645799874,True,15.161583734617425,True,15.161583734617425,True
11,2,34.440085,14.571429|17.857143,15.125200642054558,0.8918257819964419,True,15.285714285714267,False,15.125200642054558,True,15.112359550561779,True,15.112359550561779,True
12,2,35.116515,14.428571|18.571429,15.080256821829837,0.8901682366306893,True,15.142857142857125,False,15.080256821829837,True,15.065810593900464,True,15.067415730337062,True
13,2,32.944288,14.285714|17.142857,15.377207062600302,0.890176826617954,True,15.42857142857141,False,15.377207062600302,True,15.332263242375584,True,15.326912787586926,True
14,2,34.315118,14.428571|18.000000,15.09737827715354,0.8923045763127236,True,15.285714285714267,False,15.09737827715354,True,15.087212413055092,True,15.092027822364884,True
15,2,33.300511,14.428571|16.571429,14.974317817014429,0.8965031912449581,True,14.999999999999982,False,14.974317817014429,True,14.952380952380935,True,14.947565543071144,True
16,2,34.226484,14.428571|18.000000,15.271268057784894,0.8949377458233352,True,15.285714285714267,False,15.271268057784894,True,15.230069555912236,True,15.217763509898324,True
17,2,34.221828,14.428571|18.000000,15.244515783841608,0.8913290836620722,True,15.42857142857141,False,15.244515783841608,True,15.232744783306563,True,15.228464419475635,True
18,2,34.178550,14.285714|17.714286,15.171749598715873,0.8944176818799389,True,15.285714285714267,False,15.171749598715873,True,15.149812734082378,True,15.149812734082378,True
