outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
0,13,15,67,57,10,13.298507462686567,0.8697054233669717,0.8260738109448355,4,0.893431694056495,0.8832826197525122,0.8648349020429312,0.8260738109448355,False,30.153098|31.686783|34.040136
1,13,15,67,57,10,13.298507462686567,0.8568896241346426,0.845805604979652,4,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.845805604979652,False,30.127285|31.724831|33.994467
2,13,15,67,54,13,13.388059701492537,0.8759676190641853,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.8708702522638064,False,30.065446|31.721771|33.538981
3,13,15,66,47,19,13.575757575757576,0.8306834657114823,0.7960507511044175,3,0.859406547893212,0.8548585934928766,0.7960507511044175,0.8102504460100645,False,30.129913|31.640625|33.516868
0,13,16,67,57,10,13.447761194029852,0.8736472289443554,0.8480822254185613,4,0.893431694056495,0.8832826197525122,0.8648349020429312,0.8480822254185613,False,30.153098|31.686783|34.040136
1,13,16,67,57,10,13.447761194029852,0.8602405945025855,0.8533432660189224,3,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.8630759907221267,False,30.127285|31.724831|33.994467
2,13,16,67,54,13,13.582089552238806,0.8799690412890946,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.8825265691798466,False,30.065446|31.721771|33.538981
3,13,16,66,47,19,13.863636363636363,0.8401308972504247,0.7960507511044175,3,0.859406547893212,0.8548585934928766,0.7960507511044175,0.8373604669478989,False,30.129913|31.640625|33.516868
0,13,17,67,57,10,13.597014925373134,0.8770966778387713,0.8648349020429312,3,0.893431694056495,0.8832826197525122,0.8648349020429312,0.8673416484123836,False,30.153098|31.686783|34.040136
1,13,17,67,57,10,13.597014925373134,0.8631295553754184,0.8533432660189224,3,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.877965250605188,False,30.127285|31.724831|33.994467
2,13,17,67,54,13,13.776119402985074,0.8834199708892713,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.8925792771455785,False,30.065446|31.721771|33.538981
3,13,17,66,47,19,14.151515151515152,0.8482117844788135,0.7960507511044175,3,0.859406547893212,0.8548585934928766,0.7960507511044175,0.8605490998641451,False,30.129913|31.640625|33.516868
0,13,18,67,57,10,13.746268656716419,0.8801018006787721,0.8648349020429312,3,0.893431694056495,0.8832826197525122,0.8648349020429312,0.8841202509357214,False,30.153098|31.686783|34.040136
1,13,18,67,57,10,13.746268656716419,0.8656106168827029,0.8533432660189224,3,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.8907522599119626,False,30.127285|31.724831|33.994467
2,13,18,67,54,13,13.970149253731343,0.886390598047913,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.9012328432164042,False,30.065446|31.721771|33.538981
3,13,18,66,47,19,14.43939393939394,0.8550505165706765,0.7960507511044175,3,0.859406547893212,0.8548585934928766,0.7960507511044175,0.8801732876060128,False,30.129913|31.640625|33.516868
0,13,19,67,57,10,13.895522388059701,0.8827089280990594,0.8648349020429312,3,0.893431694056495,0.8832826197525122,0.8648349020429312,0.8986767123656586,False,30.153098|31.686783|34.040136
1,13,19,67,57,10,13.895522388059701,0.8677336559434289,0.8533432660189224,3,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.9016940766095506,False,30.127285|31.724831|33.994467
2,13,19,67,54,13,14.164179104477611,0.8889435500040042,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.9086697032624093,False,30.065446|31.721771|33.538981
3,13,19,66,47,19,14.727272727272727,0.8607796849238356,0.7960507511044175,3,0.859406547893212,0.8548585934928766,0.7960507511044175,0.896613509836817,False,30.129913|31.640625|33.516868
0,13,20,67,57,10,14.044776119402986,0.8849619703909172,0.8648349020429312,3,0.893431694056495,0.8832826197525122,0.8648349020429312,0.9112561984951982,False,30.153098|31.686783|34.040136
1,13,20,67,57,10,14.044776119402986,0.8695441440890489,0.8533432660189224,3,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.911025053975438,False,30.127285|31.724831|33.994467
2,13,20,67,54,13,14.35820895522388,0.8911343396296749,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.9150515686937106,False,30.065446|31.721771|33.538981
3,13,20,66,47,19,15.015151515151516,0.8655331701020825,0.7960507511044175,3,0.859406547893212,0.8548585934928766,0.7960507511044175,0.9102539455656996,False,30.129913|31.640625|33.516868
0,13,21,67,57,10,14.194029850746269,0.8869018873949547,0.8648349020429312,3,0.893431694056495,0.8832826197525122,0.8648349020429312,0.9220874017677408,False,30.153098|31.686783|34.040136
1,13,21,67,57,10,14.194029850746269,0.8710830979835144,0.8533432660189224,3,0.8668203973875882,0.8596070515481248,0.8533432660189224,0.9189565855853755,False,30.127285|31.724831|33.994467
2,13,21,67,54,13,14.552238805970148,0.8930118431166938,0.869128498172893,1,0.869128498172893,0.8804027895977603,0.888395990885716,0.920520817981983,False,30.065446|31.721771|33.538981
