outer_fold,审计层,BMI下界,BMI上界,人数,可判定人数,可判定覆盖率,平均预测概率,可判定样本达标率,描述性预测减达标率
0,1,-inf,30.15309819165916,18,16,0.8888888888888888,0.9337288930958274,0.875,0.06257433486160024
0,2,30.15309819165916,31.68678315,15,12,0.8,0.9260672222193808,1.0,-0.07619933803199741
0,3,31.68678315,34.04013619795276,22,20,0.9090909090909091,0.9115569167349297,0.95,-0.03904425789681443
0,4,34.04013619795276,inf,12,11,0.9166666666666666,0.8910181689255531,0.9090909090909091,-0.01799338956419072
1,1,-inf,30.127285470255522,17,15,0.8823529411764706,0.9111728089253169,1.0,-0.08836416598968333
1,2,30.127285470255522,31.7248313359412,17,15,0.8823529411764706,0.9052352124685775,0.9333333333333333,-0.03000106059632046
1,3,31.7248313359412,33.99446683931759,20,18,0.9,0.9000324660202936,0.8333333333333334,0.06519121884237455
1,4,33.99446683931759,inf,13,12,0.9230769230769231,0.9025975502124286,1.0,-0.09757205682575243
2,1,-inf,30.0654461675,14,12,0.8571428571428571,0.9122745418383645,0.9166666666666666,-0.0043918435752901
2,2,30.0654461675,31.7217711025,20,18,0.9,0.9209634294313022,1.0,-0.07582948422201108
2,3,31.7217711025,33.53898060646898,10,9,0.9,0.9277593624323195,1.0,-0.07210277316606606
2,4,33.53898060646898,inf,23,19,0.8260869565217391,0.9177658169564527,0.8947368421052632,0.023724299567130847
3,1,-inf,30.129913320340698,17,16,0.9411764705882353,0.9184164211862218,0.875,0.044652843727039926
3,2,30.129913320340698,31.640625,15,13,0.8666666666666667,0.9150579128972033,1.0,-0.0793081952017809
3,3,31.640625,33.516868395390006,11,11,1.0,0.8670286279140509,0.9090909090909091,-0.042062281176858174
3,4,33.516868395390006,inf,23,21,0.9130434782608695,0.8922935852914224,0.9047619047619048,-0.009732614513369708
