低BMI周,高BMI周,外层安全折数,患者加权平均孕周,平均最低审计概率,最差折最低审计概率,患者加权总体达标概率,Pareto前沿
16,18,4,16.38951310861423,0.9046587801487475,0.8934920928143583,0.9244240560576045,True
16,19,4,16.584269662921347,0.9121251493924614,0.8940543773413118,0.9276678539849247,False
16,20,4,16.779026217228463,0.9152700209248463,0.8940543773413118,0.930412308913746,False
16,21,4,16.973782771535582,0.9173511159786623,0.8940543773413118,0.9327223379386946,False
16,22,4,17.168539325842698,0.9173511159786623,0.8940543773413118,0.9346575479097561,False
17,18,4,17.194756554307116,0.9090524760547364,0.8954624198693173,0.9359394689502968,False
16,23,4,17.363295880149813,0.9173511159786623,0.8940543773413118,0.9362718074543416,False
17,19,4,17.38951310861423,0.9211644476592261,0.9100188812992546,0.9391832668776171,False
16,24,4,17.55805243445693,0.9173511159786623,0.8940543773413118,0.937613137868688,False
17,20,4,17.584269662921347,0.9280635203462384,0.9162867216857177,0.9419277218064382,False
17,21,4,17.779026217228463,0.9310970093870709,0.9162867216857177,0.944237750831387,False
17,22,4,17.973782771535582,0.9334204460383843,0.9162867216857177,0.9461729608024484,False
18,18,4,18.0,0.9120633207185349,0.8970209339570016,0.9452289371043866,False
17,23,4,18.168539325842698,0.9335317626226366,0.9162867216857177,0.9477872203470339,False
18,19,4,18.194756554307116,0.9244071608196186,0.9115773953869387,0.9484727350317069,False
17,24,4,18.363295880149813,0.9335317626226366,0.9162867216857177,0.9491285507613805,False
18,20,4,18.38951310861423,0.9348903519835214,0.9241568815164783,0.9512171899605281,False
18,21,4,18.584269662921347,0.941042423070338,0.9343764184429283,0.9535272189854767,False
18,22,4,18.779026217228463,0.9441718002396913,0.9343764184429283,0.9554624289565381,False
18,23,4,18.973782771535582,0.9461589424637202,0.9343764184429283,0.9570766885011235,False
19,19,4,19.0,0.926863616269054,0.9128021812753427,0.9559235809650644,False
18,24,4,19.168539325842698,0.9467817264165433,0.9343764184429283,0.9584180189154703,False
19,20,4,19.194756554307116,0.9373468074329567,0.9253816674048823,0.9586680358938856,False
19,21,4,19.38951310861423,0.9462080715825072,0.936212870677425,0.9609780649188344,False
19,22,4,19.584269662921347,0.9516768975453499,0.9455066172826783,0.9629132748898956,False
19,23,4,19.779026217228463,0.9549135743445271,0.9489456842020996,0.964527534434481,False
19,24,4,19.973782771535582,0.9566078658462572,0.9489456842020996,0.9658688648488276,False
20,20,4,20.0,0.9393426848513348,0.9263382625292403,0.9646138502325065,False
20,21,4,20.194756554307116,0.9482039490008854,0.9371694658017832,0.9669238792574549,False
20,22,4,20.38951310861423,0.9556620446001617,0.9464632124070365,0.9688590892285164,False
20,23,4,20.584269662921347,0.9604721022067477,0.9544117813031522,0.9704733487731021,False
20,24,4,20.779026217228463,0.963694857472952,0.9605680955861576,0.9718146791874486,False
15,18,3,15.584269662921349,0.8925884511745655,0.8670286279140509,0.9102407762255439,True
15,19,3,15.779026217228465,0.8962275665320498,0.8670286279140509,0.9134845741528641,False
15,20,3,15.97378277153558,0.8977231381269096,0.8670286279140509,0.9162290290816852,False
15,21,3,16.168539325842698,0.8977231381269096,0.8670286279140509,0.9185390581066339,False
15,22,3,16.363295880149813,0.8977231381269096,0.8670286279140509,0.9204742680776954,False
15,23,3,16.55805243445693,0.8977231381269096,0.8670286279140509,0.9220885276222809,False
