误差倍数,误差标准差,方案,确定达标比例均值,确定达标比例P05,确定未达标比例均值,区间不确定比例均值,已知状态达标率均值,状态改变率均值,状态改变率P95
0.0,0.0,15/18,0.8314606741573034,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.0,0.0
0.0,0.0,16/18,0.8576779026217228,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.0,0.0
0.0,0.0,18/22,0.9176029962546817,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0,0.0
0.5,0.0018579327921000007,15/18,0.8294044943820225,0.8164794007490637,0.06305243445692883,0.10754307116104869,0.9293652470997481,0.025629213483146066,0.03745318352059925
0.5,0.0018579327921000007,16/18,0.8559850187265917,0.846441947565543,0.05781273408239701,0.08620224719101124,0.9367460099421198,0.0228314606741573,0.033707865168539325
0.5,0.0018579327921000007,18/22,0.9155842696629213,0.9063670411985019,0.03057303370786517,0.05384269662921348,0.9676924660006414,0.016565543071161048,0.026217228464419477
1.0,0.0037158655842000014,15/18,0.8277003745318352,0.8127340823970037,0.06334456928838951,0.10895505617977529,0.9289394992941767,0.04349812734082397,0.06011235955056163
1.0,0.0037158655842000014,16/18,0.8544756554307117,0.8389513108614233,0.05792883895131087,0.08759550561797752,0.936526166803761,0.03934082397003746,0.056179775280898875
1.0,0.0037158655842000014,18/22,0.9152696629213483,0.9026217228464419,0.030123595505617978,0.05460674157303371,0.9681422312409601,0.027153558052434457,0.04119850187265917
1.5,0.005573798376300002,15/18,0.8271385767790262,0.8089887640449438,0.06355805243445692,0.10930337078651685,0.9286765619101444,0.059947565543071166,0.07865168539325842
1.5,0.005573798376300002,16/18,0.8541947565543071,0.8352059925093633,0.05788389513108614,0.08792134831460674,0.9365519793597633,0.05406741573033708,0.07116104868913857
1.5,0.005573798376300002,18/22,0.9156629213483146,0.902434456928839,0.028910112359550565,0.05542696629213483,0.9694000229731007,0.03639325842696629,0.052434456928838954
2.0,0.007431731168400003,15/18,0.8255056179775281,0.8052434456928839,0.06432209737827715,0.11017228464419476,0.9277568540315061,0.07609737827715356,0.09756554307116087
2.0,0.007431731168400003,16/18,0.8525917602996255,0.8314606741573034,0.05844194756554307,0.08896629213483147,0.93587358563169,0.06862172284644194,0.0898876404494382
2.0,0.007431731168400003,18/22,0.9151647940074906,0.898876404494382,0.02795880149812734,0.05687640449438202,0.9703623737504994,0.045558052434456923,0.06367041198501873
