误差倍数,误差标准差,repeat,方案,确定达标比例,确定未达标比例,区间不确定比例,已知状态达标率,相对无误差状态改变率
0.0,0.0,0,15/18,0.8314606741573034,0.0599250936329588,0.10861423220973783,0.9327731092436975,0.0
0.0,0.0,0,16/18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.0
0.0,0.0,0,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0
0.5,0.0018579327921000007,0,15/18,0.8352059925093633,0.06367041198501873,0.10112359550561797,0.9291666666666667,0.04119850187265917
0.5,0.0018579327921000007,0,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.0299625468164794
0.5,0.0018579327921000007,0,18/22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0149812734082397
0.5,0.0018579327921000007,1,15/18,0.8352059925093633,0.06367041198501873,0.10112359550561797,0.9291666666666667,0.02247191011235955
0.5,0.0018579327921000007,1,16/18,0.8576779026217228,0.0599250936329588,0.08239700374531835,0.9346938775510204,0.018726591760299626
0.5,0.0018579327921000007,1,18/22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.0149812734082397
0.5,0.0018579327921000007,2,15/18,0.8277153558052435,0.07116104868913857,0.10112359550561797,0.9208333333333333,0.02247191011235955
0.5,0.0018579327921000007,2,16/18,0.8539325842696629,0.06741573033707865,0.07865168539325842,0.926829268292683,0.0149812734082397
0.5,0.0018579327921000007,2,18/22,0.9063670411985019,0.033707865168539325,0.0599250936329588,0.9641434262948207,0.011235955056179775
0.5,0.0018579327921000007,3,15/18,0.8352059925093633,0.0599250936329588,0.10486891385767791,0.9330543933054394,0.018726591760299626
0.5,0.0018579327921000007,3,16/18,0.8576779026217228,0.052434456928838954,0.0898876404494382,0.9423868312757202,0.0149812734082397
0.5,0.0018579327921000007,3,18/22,0.9176029962546817,0.026217228464419477,0.056179775280898875,0.9722222222222222,0.00749063670411985
0.5,0.0018579327921000007,4,15/18,0.8277153558052435,0.0599250936329588,0.11235955056179775,0.9324894514767933,0.018726591760299626
