准确性权重,时间权重,稳定性权重,最优方案,最低综合风险,风险_15/18,风险_16/18,风险_18/22
0.0,1.0,0.0,15/18,0.1845906902086677,0.1845906902086677,0.24210807918673086,0.4127875869448903
0.0,0.99,0.01,15/18,0.184444783306581,0.184444783306581,0.24028699839486353,0.4086597110754414
0.0,0.98,0.02,15/18,0.18429887640449436,0.18429887640449436,0.23846591760299624,0.4045318352059925
0.0,0.97,0.03,15/18,0.18415296950240764,0.18415296950240764,0.2366448368111289,0.4004039593365436
0.0,0.96,0.04,15/18,0.184007062600321,0.184007062600321,0.23482375601926161,0.3962760834670947
0.0,0.95,0.05,15/18,0.1838611556982343,0.1838611556982343,0.23300267522739432,0.3921482075976458
0.0,0.94,0.06,15/18,0.18371524879614765,0.18371524879614765,0.231181594435527,0.3880203317281969
0.0,0.9299999999999999,0.07,15/18,0.18356934189406093,0.18356934189406093,0.2293605136436597,0.383892455858748
0.0,0.92,0.08,15/18,0.18342343499197428,0.18342343499197428,0.2275394328517924,0.37976457998929913
0.0,0.91,0.09,15/18,0.18327752808988762,0.18327752808988762,0.2257183520599251,0.37563670411985023
0.0,0.9,0.1,15/18,0.18313162118780094,0.18313162118780094,0.22389727126805778,0.37150882825040127
0.0,0.89,0.11,15/18,0.18298571428571425,0.18298571428571425,0.22207619047619045,0.36738095238095236
0.0,0.88,0.12,15/18,0.18283980738362757,0.18283980738362757,0.22025510968432316,0.36325307651150346
0.0,0.87,0.13,15/18,0.1826939004815409,0.1826939004815409,0.21843402889245583,0.35912520064205455
0.0,0.86,0.14,15/18,0.18254799357945423,0.18254799357945423,0.21661294810058856,0.35499732477260565
0.0,0.85,0.15,15/18,0.18240208667736754,0.18240208667736754,0.21479186730872124,0.35086944890315674
0.0,0.84,0.16,15/18,0.18225617977528086,0.18225617977528086,0.21297078651685392,0.34674157303370784
0.0,0.83,0.17,15/18,0.1821102728731942,0.1821102728731942,0.21114970572498662,0.34261369716425893
0.0,0.8200000000000001,0.18,15/18,0.18196436597110754,0.18196436597110754,0.20932862493311932,0.3384858212948101
0.0,0.81,0.19,15/18,0.18181845906902083,0.18181845906902083,0.20750754414125203,0.3343579454253612
0.0,0.8,0.2,15/18,0.18167255216693418,0.18167255216693418,0.2056864633493847,0.3302300695559123
0.0,0.79,0.21,15/18,0.1815266452648475,0.1815266452648475,0.20386538255751738,0.32610219368646337
0.0,0.78,0.22,15/18,0.18138073836276083,0.18138073836276083,0.20204430176565008,0.32197431781701447
0.0,0.77,0.23,15/18,0.18123483146067415,0.18123483146067415,0.20022322097378278,0.31784644194756556
0.0,0.76,0.24,15/18,0.18108892455858747,0.18108892455858747,0.1984021401819155,0.31371856607811666
0.0,0.75,0.25,15/18,0.18094301765650078,0.18094301765650078,0.19658105939004816,0.30959069020866775
0.0,0.74,0.26,15/18,0.1807971107544141,0.1807971107544141,0.19475997859818084,0.30546281433921885
0.0,0.73,0.27,15/18,0.18065120385232744,0.18065120385232744,0.19293889780631354,0.30133493846976994
0.0,0.72,0.28,15/18,0.18050529695024076,0.18050529695024076,0.19111781701444622,0.29720706260032104
0.0,0.71,0.29,15/18,0.18035939004815407,0.18035939004815407,0.18929673622257892,0.29307918673087213
0.0,0.7,0.3,15/18,0.1802134831460674,0.1802134831460674,0.1874756554307116,0.2889513108614232
0.0,0.69,0.31,15/18,0.18006757624398073,0.18006757624398073,0.18565457463884427,0.2848234349919743
0.0,0.6799999999999999,0.32,15/18,0.17992166934189402,0.17992166934189402,0.183833493846977,0.28069555912252536
0.0,0.6699999999999999,0.33,15/18,0.17977576243980736,0.17977576243980736,0.18201241305510968,0.27656768325307646
0.0,0.6599999999999999,0.34,15/18,0.17962985553772068,0.17962985553772068,0.18019133226324238,0.27243980738362755
