最小组人数,固定切点,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,平均检测孕周,总体达标概率,政策组最低均值,政策组最低保守下限,审计层最低均值,审计层最低保守下限,均值安全,保守下限安全,政策组人数,审计层人数,政策组均值,政策组保守下限,审计层均值,审计层保守下限
20,29.0,2,29.000000,18|19,18.913857677902623,0.9547814318531654,0.9516381855267874,23|244,fixed_cut_calibrated_times,18.913857677902623,0.955161593724551,0.9547814318531654,0.9516381855267874,0.9262116788813759,0.9189253411944334,True,True,23|244,67|66|67|67,0.959195|0.954781,0.953354|0.951638,0.965737|0.968362|0.960533|0.926212,0.962505|0.965329|0.956410|0.918925
20,29.25,2,29.250000,18|19,18.883895131086142,0.954264789534736,0.9510367936833878,31|236,fixed_cut_calibrated_times,18.883895131086142,0.9549198868122224,0.954264789534736,0.9510367936833878,0.9262116788813759,0.9189253411944334,True,True,31|236,67|66|67|67,0.959907|0.954265,0.955144|0.951037,0.964774|0.968362|0.960533|0.926212,0.961516|0.965329|0.956410|0.918925
20,29.5,2,29.500000,18|19,18.850187265917604,0.9539302041714691,0.9505905548339354,40|227,fixed_cut_calibrated_times,18.850187265917604,0.9545796172241713,0.9539302041714691,0.9505905548339354,0.9262116788813759,0.9189253411944334,True,True,40|227,67|66|67|67,0.958265|0.953930,0.954101|0.950591,0.963418|0.968362|0.960533|0.926212,0.960017|0.965329|0.956410|0.918925
20,29.75,2,29.750000,18|19,18.831460674157302,0.9534236429336914,0.9500324893329515,45|222,fixed_cut_calibrated_times,18.831460674157302,0.9544444174630179,0.9534236429336914,0.9500324893329515,0.9262116788813759,0.9189253411944334,True,True,45|222,67|66|67|67,0.959480|0.953424,0.955598|0.950032,0.962879|0.968362|0.960533|0.926212,0.959528|0.965329|0.956410|0.918925
20,30.0,2,30.000000,18|20,19.54307116104869,0.9602937122027075,0.9569952067282922,61|206,fixed_cut_calibrated_times,19.54307116104869,0.9610478391718251,0.9602937122027075,0.9569952067282922,0.93906326999661,0.9326933879372433,True,True,61|206,67|66|67|67,0.960294|0.961271,0.956995|0.958175,0.961427|0.975268|0.968645|0.939063,0.958125|0.972638|0.965178|0.932693
20,30.25,2,30.250000,18|20,19.475655430711612,0.960436317462248,0.9571895871962512,70|197,fixed_cut_calibrated_times,19.475655430711612,0.9605690405748728,0.960436317462248,0.9571895871962512,0.93906326999661,0.9326933879372433,True,True,70|197,67|66|67|67,0.960436|0.960616,0.957190|0.957425,0.960074|0.974704|0.968645|0.939063,0.956704|0.972069|0.965178|0.932693
20,30.5,2,30.500000,18|20,19.363295880149813,0.9594597890362048,0.956319901505423,85|182,fixed_cut_calibrated_times,19.363295880149813,0.9596281074141172,0.9594597890362048,0.956319901505423,0.93906326999661,0.9326933879372433,True,True,85|182,67|66|67|67,0.959460|0.959707,0.956368|0.956320,0.960074|0.970898|0.968645|0.939063,0.956704|0.967512|0.965178|0.932693
20,30.75,2,30.750000,18|20,19.250936329588015,0.9586125372739952,0.9549882165866452,100|167,fixed_cut_calibrated_times,19.250936329588015,0.958667762563331,0.9586125372739952,0.9549882165866452,0.93906326999661,0.9326933879372433,True,True,100|167,67|66|67|67,0.958760|0.958613,0.955869|0.954988,0.960074|0.967013|0.968645|0.939063,0.956704|0.963164|0.965178|0.932693
20,31.0,2,31.000000,18|20,19.168539325842698,0.9572733269326411,0.9534979771115775,111|156,fixed_cut_calibrated_times,19.168539325842698,0.9580795382869046,0.9572733269326411,0.9534979771115775,0.93906326999661,0.9326933879372433,True,True,111|156,67|66|67|67,0.959213|0.957273,0.956395|0.953498,0.960074|0.964633|0.968645|0.939063,0.956704|0.960733|0.965178|0.932693
20,31.25,2,31.250000,18|20,19.078651685393258,0.9556038794759907,0.9516077123050616,123|144,fixed_cut_calibrated_times,19.078651685393258,0.9573834321646563,0.9556038794759907,0.9516077123050616,0.93906326999661,0.9326933879372433,True,True,123|144,67|66|67|67,0.959467|0.955604,0.956888|0.951608,0.960074|0.961817|0.968645|0.939063,0.956704|0.958082|0.965178|0.932693
20,31.5,2,31.500000,18|20,19.04868913857678,0.9547772772063056,0.9507253198086237,127|140,fixed_cut_calibrated_times,19.04868913857678,0.957198333840033,0.9547772772063056,0.9507253198086237,0.93906326999661,0.9326933879372433,True,True,127|140,67|66|67|67,0.959867|0.954777,0.957348|0.950725,0.960074|0.961068|0.968645|0.939063,0.956704|0.957475|0.965178|0.932693
