最小组人数,固定切点,outer_fold,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,测试平均检测孕周,测试总体达标概率,测试政策组最低均值,测试政策组最低保守下限,测试审计层最低均值,测试审计层最低保守下限,测试均值安全,测试保守下限安全,测试政策组人数,测试审计层人数,测试政策组均值,测试政策组保守下限,测试审计层均值,测试审计层保守下限
20,29.25,0,2,29.250000,17|20,19.625,0.9571745908800318,0.9518200048051012,25|175,fixed_cut_calibrated_times,19.73134328358209,0.9655471149448199,0.9565251830936514,0.9442748406848886,0.9263382625292403,0.9093792993535641,True,True,6|61,18|15|22|12,0.956525|0.966435,0.944275|0.960625,0.973724|0.978260|0.971576|0.926338,0.966837|0.973784|0.966724|0.909379
20,29.25,1,2,29.250000,19|20,19.9,0.95801213532045,0.9549716851372286,20|180,fixed_cut_calibrated_times,19.83582089552239,0.9601431791768442,0.9597650396736146,0.9566577010788508,0.9399870977894025,0.935499861658991,True,True,11|56,17|17|20|13,0.962068|0.959765,0.960510|0.956658,0.964854|0.966591|0.963760|0.939987,0.962899|0.963602|0.959923|0.935500
20,29.25,2,2,29.250000,20|19,19.125,0.956921119390951,0.9531562459376366,25|175,fixed_cut_calibrated_times,19.08955223880597,0.9589599313812824,0.9581050581505868,0.9509273794759499,0.9434428002253891,0.9274115389481246,True,True,6|61,14|20|10|23,0.967651|0.958105,0.955570|0.950927,0.965168|0.966462|0.970955|0.943443,0.957372|0.958174|0.964549|0.927412
20,29.25,3,2,29.250000,17|19,18.771144278606965,0.9591891278838748,0.9543557285597978,23|178,fixed_cut_calibrated_times,18.757575757575758,0.950579152327101,0.9491442850355444,0.9417867457752814,0.9229133324671716,0.9117611977727061,True,True,8|58,17|15|11|23,0.960982|0.949144,0.951707|0.941787,0.967521|0.974998|0.948946|0.922913,0.962363|0.970590|0.933256|0.911761
20,29.5,0,2,29.500000,17|20,19.505,0.9569433876497944,0.9521030909463872,33|167,fixed_cut_calibrated_times,19.686567164179106,0.9649562712319467,0.9502942880416152,0.9357254050830305,0.9263382625292403,0.9093792993535641,True,True,7|60,18|15|22|12,0.950294|0.966667,0.935725|0.960773,0.971525|0.978260|0.971576|0.926338,0.962842|0.973784|0.966724|0.909379
20,29.5,1,2,29.500000,19|20,19.87,0.9557496081873711,0.9515240990575637,26|174,fixed_cut_calibrated_times,19.791044776119403,0.9598079658581814,0.9591878405458606,0.9559558869791277,0.9399870977894025,0.935499861658991,True,True,14|53,17|17|20|13,0.962156|0.959188,0.960770|0.955956,0.963533|0.966591|0.963760|0.939987,0.961801|0.963602|0.959923|0.935500
20,29.5,2,2,29.500000,20|19,19.16,0.9571424975554091,0.9532696096194393,32|168,fixed_cut_calibrated_times,19.119402985074625,0.9591912204559242,0.9580575553004262,0.9506637963184766,0.9434428002253891,0.9274115389481246,True,True,8|59,14|20|10|23,0.967552|0.958058,0.957675|0.950664,0.966274|0.966462|0.970955|0.943443,0.958689|0.958174|0.964549|0.927412
20,29.5,3,2,29.500000,17|19,18.71144278606965,0.9587487308997276,0.9543901916983296,29|172,fixed_cut_calibrated_times,18.666666666666668,0.9494840769537716,0.9478927791512913,0.9402367634319652,0.9229133324671716,0.9117611977727061,True,True,11|55,17|15|11|23,0.957441|0.947893,0.949648|0.940237,0.963269|0.974998|0.948946|0.922913,0.957260|0.970590|0.933256|0.911761
20,29.75,0,2,29.750000,17|20,19.445,0.9583651458344246,0.9539040801034718,37|163,fixed_cut_calibrated_times,19.64179104477612,0.9646862726053259,0.9525866554474146,0.9394181595374059,0.9263382625292403,0.9093792993535641,True,True,8|59,18|15|22|12,0.952587|0.966327,0.939418|0.960359,0.970520|0.978260|0.971576|0.926338,0.961961|0.973784|0.966724|0.909379
20,29.75,1,2,29.750000,19|20,19.85,0.9565019019592237,0.9526589922616695,30|170,fixed_cut_calibrated_times,19.776119402985074,0.9596913021627584,0.9590173992391597,0.9557351044931744,0.9399870977894025,0.935499861658991,True,True,15|52,17|17|20|13,0.962027|0.959017,0.960720|0.955735,0.963073|0.966591|0.963760|0.939987,0.961379|0.963602|0.959923|0.935500
20,29.75,2,2,29.750000,20|19,19.175,0.9569395322458316,0.9530084606410016,35|165,fixed_cut_calibrated_times,19.149253731343283,0.9593229963237929,0.9572389601449911,0.9496469809636681,0.9434428002253891,0.9274115389481246,True,True,10|57,14|20|10|23,0.971202|0.957239,0.962425|0.949647,0.966905|0.966462|0.970955|0.943443,0.959036|0.958174|0.964549|0.927412
20,29.75,3,2,29.750000,17|19,18.671641791044777,0.9594871185483931,0.9555271246088346,33|168,fixed_cut_calibrated_times,18.636363636363637,0.9491571157457573,0.9473559621315469,0.9396088840373149,0.9229133324671716,0.9117611977727061,True,True,12|54,17|15|11|23,0.957262|0.947356,0.950143|0.939609,0.962000|0.974998|0.948946|0.922913,0.956115|0.970590|0.933256|0.911761
20,30.0,0,2,30.000000,17|20,19.31,0.9574372441660464,0.9533889431704864,46|154,fixed_cut_calibrated_times,19.328358208955223,0.9626281794253352,0.9584081292096194,0.9509265875791381,0.9263382625292403,0.9093792993535641,True,True,15|52,18|15|22|12,0.958408|0.963846,0.950927|0.957277,0.962859|0.978260|0.971576|0.926338,0.955490|0.973784|0.966724|0.909379
20,30.0,1,2,30.000000,19|20,19.775,0.9565997029296592,0.9535320630874169,45|155,fixed_cut_calibrated_times,19.761194029850746,0.9595746384673354,0.958840273959647,0.9555061917533891,0.9399870977894025,0.935499861658991,True,True,16|51,17|17|20|13,0.961915|0.958840,0.960679|0.955506,0.962614|0.966591|0.963760|0.939987,0.960980|0.963602|0.959923|0.935500
20,30.0,2,2,30.000000,19|19,19.0,0.9562164636026801,0.9520031428308601,48|152,fixed_cut_calibrated_times,19.0,0.958278484942002,0.957579043722494,0.949606835226102,0.9434428002253891,0.9274115389481246,True,True,13|54,14|20|10|23,0.961184|0.957579,0.952315|0.949607,0.961906|0.966462|0.970955|0.943443,0.953610|0.958174|0.964549|0.927412
20,30.0,3,2,30.000000,17|19,18.562189054726367,0.9581991382638507,0.9540277090622326,44|157,fixed_cut_calibrated_times,18.484848484848484,0.9473763876280302,0.9447014791877733,0.9364168778096993,0.9229133324671716,0.9117611977727061,True,True,17|49,17|15|11|23,0.955086|0.944701,0.949727|0.936417,0.955086|0.974998|0.948946|0.922913,0.949727|0.970590|0.933256|0.911761
20,30.25,0,2,30.250000,17|20,19.22,0.9566142486678584,0.9526622658975054,52|148,fixed_cut_calibrated_times,19.19402985074627,0.9617580121477589,0.9596201910237523,0.9532948862461086,0.9263382625292403,0.9093792993535641,True,True,18|49,18|15|22|12,0.959620|0.962543,0.953295|0.955689,0.959620|0.978260|0.971576|0.926338,0.953295|0.973784|0.966724|0.909379
20,30.25,1,2,30.250000,19|20,19.735,0.9563449525228052,0.9531226777761534,53|147,fixed_cut_calibrated_times,19.746268656716417,0.9594727525395189,0.9585413775227761,0.9551771240528545,0.9399870977894025,0.935499861658991,True,True,17|50,17|17|20|13,0.962212|0.958541,0.960952|0.955177,0.962212|0.966591|0.963760|0.939987,0.960952|0.963602|0.959923|0.935500
20,30.25,2,2,30.250000,19|19,19.0,0.9558112261536056,0.951510941672971,52|148,fixed_cut_calibrated_times,19.0,0.958278484942002,0.9570067066078333,0.9483937431988144,0.9434428002253891,0.9274115389481246,True,True,18|49,14|20|10|23,0.961741|0.957007,0.953807|0.948394,0.961906|0.966462|0.970955|0.943443,0.953610|0.958174|0.964549|0.927412
20,30.25,3,2,30.250000,17|19,18.4726368159204,0.9571411876746939,0.9527685874831829,53|148,fixed_cut_calibrated_times,18.484848484848484,0.9473763876280302,0.9447014791877733,0.9364168778096993,0.9229133324671716,0.9117611977727061,True,True,17|49,17|15|11|23,0.955086|0.944701,0.949727|0.936417,0.955086|0.974998|0.948946|0.922913,0.949727|0.970590|0.933256|0.911761
20,30.5,0,2,30.500000,17|20,19.04,0.9557338883524747,0.9521201170231057,64|136,fixed_cut_calibrated_times,19.059701492537314,0.9605705324794293,0.9579422927753515,0.9516494213471424,0.9263382625292403,0.9093792993535641,True,True,21|46,18|15|22|12,0.957942|0.961770,0.951649|0.954548,0.959620|0.972956|0.971576|0.926338,0.953295|0.965220|0.966724|0.909379
20,30.5,1,2,30.500000,19|20,19.685,0.9553630478919399,0.9519770948585112,63|137,fixed_cut_calibrated_times,19.671641791044777,0.9588797460672552,0.9575931336768561,0.9539517670589437,0.9399870977894025,0.935499861658991,True,True,22|45,17|17|20|13,0.961511|0.957593,0.960009|0.953952,0.962212|0.964254|0.963760|0.939987,0.960952|0.960900|0.959923|0.935500
20,30.5,2,2,30.500000,19|19,19.0,0.9551535253657764,0.9505888996719558,63|137,fixed_cut_calibrated_times,19.0,0.958278484942002,0.9567624621774922,0.9476164135929608,0.9434428002253891,0.9274115389481246,True,True,22|45,14|20|10|23,0.961379|0.956762,0.953587|0.947616,0.961906|0.966462|0.970955|0.943443,0.953610|0.958174|0.964549|0.927412
20,30.5,3,2,30.500000,17|19,18.35323383084577,0.955385719440193,0.950722426492066,65|136,fixed_cut_calibrated_times,18.393939393939394,0.946356886377675,0.9427000462286564,0.9340958011881283,0.9229133324671716,0.9117611977727061,True,True,20|46,17|15|11|23,0.954768|0.942700,0.950198|0.934096,0.955086|0.970512|0.948946|0.922913,0.949727|0.964633|0.933256|0.911761
20,30.75,0,2,30.750000,17|20,18.875,0.9542134028439451,0.9504275948908918,75|125,fixed_cut_calibrated_times,18.880597014925375,0.9590398221316252,0.9566430736654488,0.9505043743410565,0.9263382625292403,0.9093792993535641,True,True,25|42,18|15|22|12,0.956643|0.960466,0.950504|0.952707,0.959620|0.966119|0.971576|0.926338,0.953295|0.956435|0.966724|0.909379
20,30.75,1,2,30.750000,19|20,19.63,0.9540392183233362,0.9504440819806288,74|126,fixed_cut_calibrated_times,19.611940298507463,0.9583461134804466,0.957338978627124,0.9534436270195874,0.9399870977894025,0.935499861658991,True,True,26|41,17|17|20|13,0.959934|0.957339,0.957544|0.953444,0.962212|0.962151|0.963760|0.939987,0.960952|0.957895|0.959923|0.935500
20,30.75,2,2,30.750000,19|19,19.0,0.9552013946554314,0.9503633859958768,74|126,fixed_cut_calibrated_times,19.0,0.958278484942002,0.9551484594336481,0.9452109746076919,0.9434428002253891,0.9274115389481246,True,True,26|41,14|20|10|23,0.963214|0.955148,0.956446|0.945211,0.961906|0.966462|0.970955|0.943443,0.953610|0.958174|0.964549|0.927412
20,30.75,3,2,30.750000,17|20,18.850746268656717,0.956644963201027,0.9531282911523977,77|124,fixed_cut_calibrated_times,18.954545454545453,0.9533698992218883,0.952315920648384,0.9463686244109589,0.9386090698577575,0.929197733577698,True,True,23|43,17|15|11|23,0.952316|0.953934,0.946952|0.946369,0.955086|0.968779|0.960568|0.938609,0.949727|0.958591|0.947524|0.929198
20,31.0,0,2,31.000000,18|21,19.755,0.9617072968827755,0.9582520730909163,83|117,fixed_cut_calibrated_times,19.746268656716417,0.9664744254164476,0.9662167195024438,0.9590542220129146,0.9379122031122739,0.9228598926838552,True,True,28|39,18|15|22|12,0.966833|0.966217,0.962119|0.959054,0.968696|0.970350|0.977594|0.937912,0.963312|0.962948|0.973468|0.922860
20,31.0,1,2,31.000000,19|21,20.17,0.9597526179268366,0.9574354803643408,83|117,fixed_cut_calibrated_times,20.16417910447761,0.9626392972161328,0.9599557186171345,0.9577390667932567,0.9498928630103692,0.9459386361586382,True,True,28|39,17|17|20|13,0.959956|0.964566,0.957739|0.961036,0.962212|0.963372|0.970664|0.949893,0.960952|0.958376|0.967331|0.945939
20,31.0,2,2,31.000000,19|20,19.59,0.9614842484425357,0.9571539441612619,82|118,fixed_cut_calibrated_times,19.567164179104477,0.9626868406311418,0.9625813610550626,0.953271123827017,0.9524363092289391,0.938212611186547,True,True,29|38,14|20|10|23,0.962825|0.962581,0.956111|0.953271,0.961906|0.967843|0.977044|0.952436,0.953610|0.959351|0.971665|0.938213
20,31.0,3,2,31.000000,17|20,18.73134328358209,0.9568273692658561,0.9535662600961702,85|116,fixed_cut_calibrated_times,18.818181818181817,0.9523414244506756,0.9513679214729887,0.9436514261999017,0.9386090698577575,0.929197733577698,True,True,26|40,17|15|11|23,0.953839|0.951368,0.948723|0.943651,0.955086|0.964254|0.960568|0.938609,0.949727|0.954752|0.947524|0.929198
20,31.25,0,2,31.250000,17|21,19.12,0.9540535074963007,0.9507316686835083,94|106,fixed_cut_calibrated_times,19.26865671641791,0.96213488329784,0.9574550067017222,0.952132207436394,0.9379122031122739,0.9228598926838552,True,True,29|38,18|15|22|12,0.957455|0.965706,0.952132|0.958404,0.959620|0.961858|0.977594|0.937912,0.953295|0.952751|0.973468|0.922860
20,31.25,1,2,31.250000,19|21,20.1,0.9596913082337668,0.9561992873145856,90|110,fixed_cut_calibrated_times,20.01492537313433,0.961609254982616,0.9602017013188815,0.9582940843040839,0.9498928630103692,0.9459386361586382,True,True,33|34,17|17|20|13,0.960202|0.962975,0.958294|0.959129,0.962212|0.959313|0.970664|0.949893,0.960952|0.955396|0.967331|0.945939
20,31.25,2,2,31.250000,19|20,19.54,0.9612962517604979,0.9563903545297668,92|108,fixed_cut_calibrated_times,19.53731343283582,0.9625473710665906,0.9613559323598125,0.9516354745168302,0.9524363092289391,0.938212611186547,True,True,31|36,14|20|10|23,0.963931|0.961356,0.957526|0.951635,0.961906|0.967376|0.977044|0.952436,0.953610|0.958996|0.971665|0.938213
20,31.25,3,2,31.250000,17|20,18.611940298507463,0.9574598327260402,0.9543158459088494,93|108,fixed_cut_calibrated_times,18.636363636363637,0.9505665703501567,0.9478719932954862,0.9398561964313153,0.9386090698577575,0.929197733577698,True,True,30|36,17|15|11|23,0.953800|0.947872,0.949365|0.939856,0.955086|0.956444|0.960568|0.938609,0.949727|0.948260|0.947524|0.929198
20,31.5,0,2,31.500000,17|21,19.08,0.9539243252530981,0.9506681343469857,96|104,fixed_cut_calibrated_times,19.149253731343283,0.9613884480317917,0.9577783756080273,0.9527909764823234,0.9379122031122739,0.9228598926838552,True,True,31|36,18|15|22|12,0.957778|0.964497,0.952791|0.956923,0.959620|0.958524|0.977594|0.937912,0.953295|0.950531|0.973468|0.922860
