开发可靠性阈值,最小组人数,可求解,该网格胜出,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器
0.85,20,True,False,1,,14,14.0,0.8735021177676658,0.8679168711679426,267,ordered_dynamic_programming_global
0.85,20,True,True,2,36.326687,13|18,13.411985018726591,0.8558767233909759,0.8504609789303663,245|22,ordered_dynamic_programming_global
0.85,20,True,False,3,28.802200|35.698449,13|13|17,13.44943820224719,0.8582148206149846,0.850275088356233,20|217|30,ordered_dynamic_programming_global
0.85,20,True,False,4,28.802200|29.555954|35.698449,13|13|13|17,13.44943820224719,0.8576554200076217,0.850275088356233,20|21|196|30,ordered_dynamic_programming_global
0.85,25,True,False,1,,14,14.0,0.8735021177676658,0.8679168711679426,267,ordered_dynamic_programming_global
0.85,25,True,True,2,35.698449,13|17,13.44943820224719,0.8595659697870662,0.850275088356233,237|30,ordered_dynamic_programming_global
0.85,25,True,False,3,29.131119|35.698449,13|13|17,13.44943820224719,0.8584230122305161,0.850275088356233,25|212|30,ordered_dynamic_programming_global
0.85,25,True,False,4,29.131119|29.788378|35.698449,13|13|13|17,13.44943820224719,0.8569413730864986,0.850275088356233,25|25|187|30,ordered_dynamic_programming_global
0.85,30,True,False,1,,14,14.0,0.8735021177676658,0.8679168711679426,267,ordered_dynamic_programming_global
0.85,30,True,True,2,35.698449,13|17,13.44943820224719,0.8595659697870662,0.850275088356233,237|30,ordered_dynamic_programming_global
0.85,30,True,False,3,29.201415|35.698449,13|13|17,13.44943820224719,0.8577362359952495,0.850275088356233,30|207|30,ordered_dynamic_programming_global
0.85,30,True,False,4,29.201415|29.927304|35.647570,13|13|13|17,13.47940074906367,0.856534009875563,0.8500862321636247,30|30|175|32,ordered_dynamic_programming_global
0.85,35,True,False,1,,14,14.0,0.8735021177676658,0.8679168711679426,267,ordered_dynamic_programming_global
0.85,35,True,True,2,35.365688,13|17,13.52434456928839,0.8602697440482591,0.8551459606730518,232|35,ordered_dynamic_programming_global
0.85,35,True,False,3,29.374358|35.365688,13|13|17,13.52434456928839,0.8583864652979595,0.8525502766149609,35|197|35,ordered_dynamic_programming_global
