误差倍数,误差标准差,方案,确定达标比例均值,确定达标比例P05,区间不确定比例均值,已知状态达标率均值,状态改变率均值,状态改变率P95
0.0,0.0,v2数据切点35.33,0.9138576779026217,0.9138576779026217,0.056179775280898875,0.9682539682539683,0.0,0.0
0.0,0.0,v2整数切点35_开发18_23,0.9138576779026217,0.9138576779026217,0.056179775280898875,0.9682539682539683,0.0,0.0
0.0,0.0,v2整数切点35_部署18_22,0.9138576779026217,0.9138576779026217,0.056179775280898875,0.9682539682539683,0.0,0.0
0.0,0.0,问题2_16_18,0.8576779026217228,0.8576779026217228,0.08614232209737828,0.9385245901639344,0.0,0.0
0.0,0.0,问题2_18_22,0.9176029962546817,0.9176029962546817,0.052434456928838954,0.9683794466403162,0.0,0.0
0.5,0.0018579327921000007,v2数据切点35.33,0.9118801498127341,0.9026217228464419,0.057528089887640445,0.9675491734516827,0.016292134831460674,0.026217228464419477
0.5,0.0018579327921000007,v2整数切点35_开发18_23,0.9118801498127341,0.9026217228464419,0.057528089887640445,0.9675491734516827,0.016292134831460674,0.026217228464419477
0.5,0.0018579327921000007,v2整数切点35_部署18_22,0.9118801498127341,0.9026217228464419,0.057528089887640445,0.9675491734516827,0.016292134831460674,0.026217228464419477
0.5,0.0018579327921000007,问题2_16_18,0.8560074906367041,0.846441947565543,0.08593258426966292,0.9364959716914405,0.022404494382022473,0.033707865168539325
0.5,0.0018579327921000007,问题2_18_22,0.9153558052434457,0.9063670411985019,0.05432209737827716,0.9679433388014429,0.016292134831460674,0.026217228464419477
1.0,0.0037158655842000014,v2数据切点35.33,0.9129737827715356,0.9026217228464419,0.056179775280898875,0.9673278605424495,0.027138576779026216,0.04119850187265917
1.0,0.0037158655842000014,v2整数切点35_开发18_23,0.9129737827715356,0.9026217228464419,0.056179775280898875,0.9673278605424495,0.027138576779026216,0.04119850187265917
1.0,0.0037158655842000014,v2整数切点35_部署18_22,0.9128764044943821,0.9026217228464419,0.056277153558052434,0.9673246021202511,0.027235955056179775,0.04119850187265917
1.0,0.0037158655842000014,问题2_16_18,0.8547265917602996,0.8389513108614233,0.08737827715355805,0.9365771803094618,0.03898876404494382,0.056179775280898875
1.0,0.0037158655842000014,问题2_18_22,0.915685393258427,0.9026217228464419,0.05439700374531835,0.968369822822788,0.027228464419475656,0.04119850187265917
1.5,0.005573798376300002,v2数据切点35.33,0.9132584269662922,0.898876404494382,0.05656928838951311,0.968024706441049,0.03643445692883895,0.052434456928838954
1.5,0.005573798376300002,v2整数切点35_开发18_23,0.9132808988764045,0.898876404494382,0.05654681647940075,0.9680255441316712,0.03641198501872659,0.052434456928838954
1.5,0.005573798376300002,v2整数切点35_部署18_22,0.9130187265917603,0.898876404494382,0.05677902621722846,0.9679856167003181,0.036674157303370786,0.052434456928838954
1.5,0.005573798376300002,问题2_16_18,0.853310861423221,0.8352059925093633,0.08850936329588015,0.9361922323290913,0.05457677902621723,0.07116104868913857
1.5,0.005573798376300002,问题2_18_22,0.9153782771535581,0.898876404494382,0.05554307116104869,0.9692158748585885,0.03639700374531835,0.052434456928838954
2.0,0.007431731168400003,v2数据切点35.33,0.9138052434456929,0.8951310861423221,0.05716104868913857,0.969215384871434,0.04551310861423221,0.06367041198501873
2.0,0.007431731168400003,v2整数切点35_开发18_23,0.913932584269663,0.898876404494382,0.05703370786516854,0.9692197631690755,0.04538576779026217,0.06367041198501873
2.0,0.007431731168400003,v2整数切点35_部署18_22,0.9134007490636704,0.898689138576779,0.05739325842696629,0.9690249445673249,0.04591760299625468,0.06367041198501873
2.0,0.007431731168400003,问题2_16_18,0.8530112359550561,0.8314606741573034,0.08938576779026218,0.9367634018033943,0.06841947565543072,0.0898876404494382
2.0,0.007431731168400003,问题2_18_22,0.9155355805243446,0.898876404494382,0.05630711610486891,0.9701706104935682,0.04522097378277154,0.06367041198501873
