误差倍数,误差标准差,repeat,方案,确定达标比例,确定未达标比例,区间不确定比例,已知状态达标率,状态改变率
0.0,0.0,0,v2数据切点35.33,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.0
0.0,0.0,0,v2整数切点35_开发18_23,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.0
0.0,0.0,0,v2整数切点35_部署18_22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.0
0.0,0.0,0,问题2_18_22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.0
0.0,0.0,0,问题2_16_18,0.8576779026217228,0.056179775280898875,0.08614232209737828,0.9385245901639344,0.0
0.5,0.0018579327921000007,0,v2数据切点35.33,0.9026217228464419,0.0299625468164794,0.06741573033707865,0.9678714859437751,0.0149812734082397
0.5,0.0018579327921000007,0,v2整数切点35_开发18_23,0.9026217228464419,0.0299625468164794,0.06741573033707865,0.9678714859437751,0.0149812734082397
0.5,0.0018579327921000007,0,v2整数切点35_部署18_22,0.9026217228464419,0.0299625468164794,0.06741573033707865,0.9678714859437751,0.0149812734082397
0.5,0.0018579327921000007,0,问题2_18_22,0.9063670411985019,0.0299625468164794,0.06367041198501873,0.968,0.0149812734082397
0.5,0.0018579327921000007,0,问题2_16_18,0.850187265917603,0.06367041198501873,0.08614232209737828,0.930327868852459,0.0149812734082397
0.5,0.0018579327921000007,1,v2数据切点35.33,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,1,v2整数切点35_开发18_23,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,1,v2整数切点35_部署18_22,0.9138576779026217,0.0299625468164794,0.056179775280898875,0.9682539682539683,0.018726591760299626
0.5,0.0018579327921000007,1,问题2_18_22,0.9176029962546817,0.0299625468164794,0.052434456928838954,0.9683794466403162,0.018726591760299626
0.5,0.0018579327921000007,1,问题2_16_18,0.8539325842696629,0.052434456928838954,0.09363295880149813,0.9421487603305785,0.033707865168539325
0.5,0.0018579327921000007,2,v2数据切点35.33,0.9063670411985019,0.033707865168539325,0.0599250936329588,0.9641434262948207,0.018726591760299626
0.5,0.0018579327921000007,2,v2整数切点35_开发18_23,0.9063670411985019,0.033707865168539325,0.0599250936329588,0.9641434262948207,0.018726591760299626
0.5,0.0018579327921000007,2,v2整数切点35_部署18_22,0.9063670411985019,0.033707865168539325,0.0599250936329588,0.9641434262948207,0.018726591760299626
