开发可靠性阈值,组数,外层测试平均孕周,外层测试孕周标准差,均值安全折数,保守下限安全折数,平均最低审计均值,平均最低审计下限,外层测试孕周标准误,最大保守安全折数,最大均值安全折数,进入一标准误范围,外层选择
0.9,1,15.75,0.49999999999999983,0,0,0.8696389555985456,0.8510057084335341,0.24999999999999992,True,False,False,False
0.9,2,15.514586160108548,0.3386216011089296,0,0,0.8781730934411519,0.8573171552650038,0.1693108005544648,True,False,False,False
0.9,3,15.5,0.36202363506918167,2,0,0.8893754834534732,0.8708677418773528,0.18101181753459084,True,True,True,True
0.9,4,15.533129805517865,0.3239327119095224,2,0,0.8925017441276644,0.8775004753268049,0.1619663559547612,True,True,True,False
0.925,1,17.25,0.49999999999999967,2,2,0.8986231428935326,0.8825518339817976,0.24999999999999983,False,False,False,False
0.925,2,17.01571687019448,0.4128647873046266,4,2,0.911897164915928,0.8945267900777825,0.2064323936523133,False,True,False,False
0.925,3,16.847184531886025,0.3740244204599717,4,2,0.910378881786346,0.8929196952370457,0.18701221022998585,False,True,False,False
0.925,4,16.993554952510177,0.269917810511262,4,3,0.922231507582057,0.9083342631453901,0.134958905255631,True,True,True,True
0.95,1,19.25,0.49999999999999967,4,3,0.9297863529393264,0.9171170931844268,0.24999999999999983,False,True,False,False
0.95,2,18.792232021709633,0.5517486256273505,4,4,0.9407563778518977,0.9292977324016947,0.27587431281367525,True,True,True,True
0.95,3,18.85289461781999,0.3776217561808725,4,4,0.946333318939213,0.9344125538627129,0.18881087809043626,True,True,True,False
0.95,4,18.856908638625058,0.39172590523891726,4,4,0.9454234578765708,0.9340341871000927,0.19586295261945863,True,True,True,False
0.975,1,22.5,1.0,4,4,0.9611724707220558,0.9531027224899395,0.5,True,True,False,False
0.975,2,22.122286295793756,0.9622646098642527,4,4,0.9695231812923362,0.9629140960633087,0.48113230493212633,True,True,True,True
0.975,3,22.033695160560832,0.8174361723272493,4,4,0.9717523281525675,0.9643239951013448,0.40871808616362465,True,True,True,False
0.975,4,22.24672094075079,0.7883982759131886,4,4,0.9709558439590604,0.9633294225090875,0.3941991379565943,True,True,True,False
