开发可靠性阈值,outer_fold,可求解,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,测试平均检测孕周,测试总体达标概率,测试政策组最低均值,测试政策组最低保守下限,测试审计层最低均值,测试审计层最低保守下限,测试均值安全,测试保守下限安全,测试政策组人数,测试审计层人数,测试政策组均值,测试政策组保守下限,测试审计层均值,测试审计层保守下限
0.9,0,True,1,,16,16.0,0.9162901571830924,0.9114615513581855,200,ordered_dynamic_programming_global,16.0,0.9241361224871355,0.9241361224871355,0.915373933191192,0.8574540672971981,0.8316782153122138,False,False,67,18|15|22|12,0.924136,0.915374,0.948146|0.941606|0.928952|0.857454,0.940782|0.933229|0.920344|0.831678
0.9,0,True,2,31.807165,14|17,15.455,0.9051417867772686,0.9001732268706446,103|97,ordered_dynamic_programming_global,15.388059701492537,0.9136780907337719,0.9092858316610557,0.9015401912207512,0.8786838173459796,0.8552367801929884,False,False,36|31,18|15|22|12,0.909286|0.918779,0.901540|0.904984,0.915733|0.906859|0.935733|0.878684,0.906057|0.896036|0.924338|0.855237
0.9,0,True,3,31.807165|35.365688,14|16|19,15.42,0.9051417867772686,0.9001732268706446,103|67|30,ordered_dynamic_programming_global,15.149253731343284,0.9108609830824769,0.8778466931613382,0.8589607630203343,0.8853114351673442,0.8690022665835643,False,False,36|26|5,18|15|22|12,0.909286|0.919391|0.877847,0.901540|0.908790|0.858961,0.915733|0.906859|0.923539|0.885311,0.906057|0.896036|0.912633|0.869002
0.9,0,True,4,31.015131|32.512041|35.330226,14|15|16|19,15.46,0.9059948777843612,0.9001762846710423,85|31|53|31,ordered_dynamic_programming_global,15.164179104477611,0.9115590669440377,0.8778466931613382,0.8589607630203343,0.8853114351673442,0.8690022665835643,False,False,28|15|19|5,18|15|22|12,0.912326|0.919966|0.912664|0.877847,0.903987|0.910472|0.899189|0.858961,0.915733|0.913263|0.921299|0.885311,0.906057|0.901697|0.912202|0.869002
0.9,1,True,1,,16,16.0,0.910991584806488,0.9070871523981333,200,ordered_dynamic_programming_global,16.0,0.9141786529413952,0.9141786529413952,0.9097790632104513,0.8795767025007222,0.8725814490464219,False,False,67,17|17|20|13,0.914179,0.909779,0.927879|0.922569|0.917893|0.879577,0.925933|0.917500|0.911567|0.872581
0.9,1,True,2,30.598789,15|16,15.68,0.9053802833142076,0.900097660916774,64|136,ordered_dynamic_programming_global,15.64179104477612,0.9081078495421632,0.9076852899371183,0.9016195270929073,0.8795767025007222,0.8725814490464219,False,False,24|43,17|17|20|13,0.908865|0.907685,0.905337|0.901620,0.911173|0.915349|0.917893|0.879577,0.908960|0.908557|0.911567|0.872581
0.9,1,True,3,30.472290|34.212953,15|15|18,15.69,0.9049713405791835,0.9005619125535564,61|93|46,ordered_dynamic_programming_global,15.492537313432836,0.905565430466786,0.9010627656345253,0.8963537450149099,0.9000324660202936,0.8929974987181805,True,False,20|36|11,17|17|20|13,0.911242|0.901063|0.909980,0.909200|0.896354|0.907121,0.911173|0.905235|0.900032|0.907177,0.908960|0.899561|0.892997|0.903073
0.9,1,True,4,30.472290|31.273802|32.681884,15|15|15|17,15.79,0.9049713405791835,0.9002056203774951,61|30|30|79,ordered_dynamic_programming_global,15.716417910447761,0.9091363019642381,0.8983771983645138,0.8867653688540326,0.8984163509316876,0.8920910644149233,True,False,20|13|10|24,17|17|20|13,0.911242|0.902660|0.898377|0.915372,0.909200|0.895778|0.886765|0.907643,0.911173|0.905235|0.917689|0.898416,0.908960|0.899561|0.907924|0.892091
0.9,2,True,1,,15,15.0,0.9058563896145888,0.9003648832647686,200,ordered_dynamic_programming_global,15.0,0.9086414924891795,0.9086414924891795,0.8982942361666387,0.887403226003855,0.8628165560941875,False,False,67,14|20|10|23,0.908641,0.898294,0.912275|0.920963|0.927759|0.887403,0.897955|0.907334|0.915751|0.862817
0.9,2,True,2,29.443804,16|15,15.15,0.9060228635168197,0.9000573393408268,30|170,ordered_dynamic_programming_global,15.119402985074627,0.910629033170169,0.908620608713753,0.8971307663489088,0.887403226003855,0.8628165560941875,False,False,8|59,14|20|10|23,0.925441|0.908621,0.908038|0.897131,0.921786|0.920963|0.927759|0.887403,0.908391|0.907334|0.915751|0.862817
0.9,2,True,3,30.033157|33.313403,15|15|16,15.275,0.9088971018219641,0.9009704256661586,49|96|55,ordered_dynamic_programming_global,15.35820895522388,0.9148896069302762,0.9075796141142373,0.8858593605966494,0.905129404712204,0.8828373664812491,True,False,13|30|24,14|20|10|23,0.911125|0.922369|0.907580,0.895794|0.912662|0.885859,0.912275|0.920963|0.928852|0.905129,0.897955|0.907334|0.916045|0.882837
0.9,2,True,4,30.033157|30.935304|33.232935,15|15|15|16,15.295,0.9078897463538089,0.9001269318909995,49|30|62|59,ordered_dynamic_programming_global,15.373134328358208,0.9150283426701801,0.9101432412149747,0.8888873631148276,0.905129404712204,0.8828373664812491,True,False,13|15|14|25,14|20|10|23,0.911125|0.915487|0.926884|0.910143,0.895794|0.898202|0.918693|0.888887,0.912275|0.920963|0.929781|0.905129,0.897955|0.907334|0.916176|0.882837
0.9,3,True,1,,16,16.0,0.9173894114873332,0.9119371452118901,201,ordered_dynamic_programming_global,16.0,0.9013305573827661,0.9013305573827661,0.890545749924712,0.8541218265924072,0.8369466132813133,False,False,66,17|15|11|23,0.901331,0.890546,0.939078|0.936273|0.894054|0.854122,0.932455|0.928328|0.868984|0.836947
0.9,3,True,2,34.720320,15|19,15.597014925373134,0.9063082135902051,0.9010454097952999,171|30,ordered_dynamic_programming_global,15.909090909090908,0.9000839434603981,0.8960577901922144,0.8849609519510605,0.8670286279140509,0.8386338357264176,False,False,51|15,17|15|11|23,0.896058|0.913773,0.884961|0.902567,0.918416|0.915058|0.867029|0.892577,0.910394|0.905711|0.838634|0.874515
0.9,3,True,3,29.555954|33.942385,15|15|18,15.626865671641792,0.9068428627626696,0.9003209650612762,30|129|42,ordered_dynamic_programming_global,16.0,0.9035892481924989,0.8997029638929183,0.8873552158828695,0.8670286279140509,0.8386338357264176,False,False,11|33|22,17|15|11|23,0.922111|0.899703|0.900158,0.910440|0.887355|0.888130,0.918416|0.915058|0.867029|0.902636,0.910394|0.905711|0.838634|0.890441
0.9,3,True,4,29.555954|30.447974|32.445274,15|15|15|17,15.81592039800995,0.9089452541470077,0.9005746355555764,30|30|59|82,ordered_dynamic_programming_global,15.878787878787879,0.9009641888922867,0.8852783188310219,0.8716132296219133,0.8811497856994216,0.8660712038274829,False,False,11|8|18|29,17|15|11|23,0.922111|0.913269|0.907844|0.885278,0.910440|0.908016|0.895596|0.871613,0.918416|0.915058|0.896204|0.881150,0.910394|0.905711|0.874010|0.866071
0.925,0,True,1,,17,17.0,0.9316757263284825,0.9273958178364975,200,ordered_dynamic_programming_global,17.0,0.9384850526134417,0.9384850526134417,0.9306521996977283,0.8786838173459796,0.8552367801929884,False,False,67,18|15|22|12,0.938485,0.930652,0.959620|0.954095|0.943169|0.878684,0.953295|0.946838|0.935616|0.855237
0.925,0,True,2,34.897297,16|21,16.875,0.9289728470419508,0.9250604621791019,165|35,ordered_dynamic_programming_global,16.44776119402985,0.9326739656773032,0.9164399912300384,0.8996586117735041,0.9051236917756343,0.8881224536239809,True,False,61|6,18|15|22|12,0.934271|0.916440,0.928289|0.899659,0.948146|0.941606|0.928952|0.905124,0.940782|0.933229|0.920344|0.888122
0.925,0,True,3,30.096121|33.148678,15|16|19,16.855,0.9301521107048674,0.9250362429432566,48|79|73,ordered_dynamic_programming_global,16.417910447761194,0.9317233628052344,0.9248729334474871,0.9064333981852216,0.9128021812753427,0.8937957743578857,True,False,17|35|15,18|15|22|12,0.933028|0.934025|0.924873,0.924109|0.927312|0.906433,0.934439|0.941606|0.933084|0.912802,0.925716|0.933229|0.922955|0.893796
0.925,0,True,4,30.512075|31.459255|34.268071,15|16|17|20,16.86,0.9299385950151681,0.9251581231552558,64|32|60|44,ordered_dynamic_programming_global,16.671641791044777,0.9362738389164071,0.9153314904922396,0.9010908168923256,0.9225983674287942,0.9083074035098773,True,True,21|10|26|10,18|15|22|12,0.931469|0.945516|0.944655|0.915331,0.923051|0.935734|0.938095|0.901091,0.933729|0.940156|0.943169|0.922598,0.925241|0.930436|0.935616|0.908307
0.925,1,True,1,,18,18.0,0.9392259088660108,0.9360667721970778,200,ordered_dynamic_programming_global,18.0,0.9421214972788122,0.9421214972788122,0.9386252087643469,0.9145423839296781,0.9088643350040927,True,True,67,17|17|20|13,0.942121,0.938625,0.952967|0.948822|0.945134|0.914542,0.951500|0.944875|0.940139|0.908864
0.925,1,True,2,34.920501,17|20,17.48,0.9319131339295277,0.9255008049311143,168|32,ordered_dynamic_programming_global,17.402985074626866,0.9352189248255123,0.9350732708094536,0.9320480425885365,0.9282940059477145,0.9209660351009448,True,True,58|9,17|17|20|13,0.935073|0.936158,0.932048|0.933501,0.941657|0.936947|0.932779|0.928294,0.939960|0.932458|0.927137|0.920966
