outer_fold,数据层,规则,满足可行约束,患者数,异常患者数,直接阳性数,复测数,阴性数,直接阳性灵敏度,直接阳性特异度,直接阳性PPV,三分流覆盖灵敏度,复测率,阴性漏诊数
0,development,p30_r15,True,110,33,30,59,21,0.5151515151515151,0.8311688311688312,0.5666666666666667,0.9696969696969697,0.5363636363636364,1
0,development,p40_r20,False,110,33,15,60,35,0.2727272727272727,0.922077922077922,0.6,0.8484848484848485,0.5454545454545454,5
0,development,p50_r25,False,110,33,7,51,52,0.18181818181818182,0.987012987012987,0.8571428571428571,0.7272727272727273,0.4636363636363636,9
0,development,p60_r30,False,110,33,1,42,67,0.030303030303030304,1.0,1.0,0.6060606060606061,0.38181818181818183,13
1,development,p30_r15,True,111,33,30,49,32,0.5151515151515151,0.8333333333333334,0.5666666666666667,0.8787878787878788,0.44144144144144143,4
1,development,p40_r20,False,111,33,17,45,49,0.3333333333333333,0.9230769230769231,0.6470588235294118,0.7575757575757576,0.40540540540540543,8
1,development,p50_r25,False,111,33,7,44,60,0.18181818181818182,0.9871794871794872,0.8571428571428571,0.696969696969697,0.3963963963963964,10
1,development,p60_r30,False,111,33,1,39,71,0.030303030303030304,1.0,1.0,0.5757575757575758,0.35135135135135137,14
2,development,p30_r15,True,110,33,27,57,26,0.42424242424242425,0.8311688311688312,0.5185185185185185,0.9090909090909091,0.5181818181818182,3
2,development,p40_r20,False,110,33,14,55,41,0.24242424242424243,0.922077922077922,0.5714285714285714,0.8181818181818182,0.5,6
2,development,p50_r25,False,110,33,7,49,54,0.18181818181818182,0.987012987012987,0.8571428571428571,0.696969696969697,0.44545454545454544,10
2,development,p60_r30,False,110,33,2,41,67,0.06060606060606061,1.0,1.0,0.5757575757575758,0.37272727272727274,14
3,development,p30_r15,True,110,33,33,48,29,0.5454545454545454,0.8051948051948052,0.5454545454545454,0.8787878787878788,0.43636363636363634,4
3,development,p40_r20,False,110,33,17,53,40,0.3333333333333333,0.922077922077922,0.6470588235294118,0.8484848484848485,0.4818181818181818,5
3,development,p50_r25,False,110,33,6,54,50,0.18181818181818182,1.0,1.0,0.7878787878787878,0.4909090909090909,7
3,development,p60_r30,False,110,33,2,46,62,0.06060606060606061,1.0,1.0,0.696969696969697,0.41818181818181815,10
