组数,切点,BIC
3,32.060|34.279,358.1838513712329
3,31.711|34.279,359.8186795342853
2,34.279,362.0019147949696
3,32.567|34.279,362.33719020038984
3,31.196|34.279,363.0060341269028
4,30.648|32.060|34.279,363.0766048540793
4,30.934|32.060|34.279,363.1123979644455
3,32.936|34.279,363.11852651319543
4,29.537|32.060|34.279,363.22374739800085
4,30.469|32.060|34.279,363.6052171487684
4,30.125|32.060|34.279,363.64335823367685
4,29.843|32.060|34.279,363.6596252404142
4,30.648|31.711|34.279,364.28689788475765
4,29.537|31.711|34.279,364.74962727992846
4,30.469|31.711|34.279,365.11486046814974
4,31.711|32.936|34.279,365.1517041136943
4,30.125|31.711|34.279,365.1929389645329
4,29.843|31.711|34.279,365.23285347003673
3,30.934|34.279,365.45704970306906
3,30.469|34.279,366.0942870386713
3,30.648|34.279,366.2563013684444
3,30.125|34.279,366.44817848797936
3,29.843|34.279,366.80457355632154
4,31.196|32.567|34.279,367.19217007231646
4,31.196|32.936|34.279,367.3057034328993
3,29.537|34.279,367.5040751222752
4,29.537|32.567|34.279,367.79714842845476
4,30.469|32.567|34.279,367.8668489421834
4,30.125|32.567|34.279,367.8863758743707
4,30.934|32.567|34.279,367.8950184104281
4,29.843|32.567|34.279,367.9078301411076
4,30.648|32.567|34.279,367.9241879740568
4,29.537|31.196|34.279,368.13067159497297
4,30.934|32.936|34.279,368.44879270652046
4,30.469|32.936|34.279,368.47403656695826
4,30.469|31.196|34.279,368.50264555448837
4,30.125|31.196|34.279,368.5274261537027
4,29.843|31.196|34.279,368.53324876259364
4,30.125|32.936|34.279,368.5404464582561
4,29.843|32.936|34.279,368.6096637064532
4,30.648|32.936|34.279,368.6259941700479
4,29.537|32.936|34.279,368.6648537247909
4,29.537|30.934|34.279,370.82893802778625
4,30.125|30.934|34.279,371.03111186598755
4,29.843|30.934|34.279,371.0418865156827
4,29.537|30.469|34.279,371.31122530981537
4,29.537|30.648|34.279,371.68673790095113
4,29.843|30.648|34.279,371.81418467999083
3,32.060|34.980,372.66828991694894
3,32.936|34.980,375.778704709544
4,32.060|33.297|34.980,376.506173931004
3,31.711|34.980,376.7922498757667
3,32.567|34.980,376.94930523402996
4,30.648|32.060|34.980,377.59776046740393
4,30.934|32.060|34.980,377.6316590304112
4,29.537|32.060|34.980,377.73711622020386
4,31.711|32.936|34.980,377.97751954469527
4,30.469|32.060|34.980,378.0984174883769
4,30.125|32.060|34.980,378.13454353685205
4,29.843|32.060|34.980,378.14995122225264
4,31.711|33.297|34.980,378.51998627152796
3,33.297|34.980,379.3075756437352
4,31.196|32.936|34.980,380.0308810493129
4,30.934|32.936|34.980,381.12087717283083
4,30.469|32.936|34.980,381.1449509743623
4,30.125|32.936|34.980,381.2082832552631
4,29.843|32.936|34.980,381.2742935695625
4,30.648|32.936|34.980,381.2898675350598
4,29.537|32.936|34.980,381.3269271236415
4,30.648|31.711|34.980,381.329528262643
4,31.196|33.297|34.980,381.6005678798338
4,29.537|31.711|34.980,381.76366775844343
4,31.196|32.567|34.980,381.84333381126095
4,30.469|31.711|34.980,382.106367690224
4,30.125|31.711|34.980,382.17963284333274
4,29.843|31.711|34.980,382.21708722992366
4,29.537|32.567|34.980,382.4160440283318
4,30.469|32.567|34.980,382.4820313233795
4,30.125|32.567|34.980,382.50051814415104
4,30.934|32.567|34.980,382.50870035436736
4,29.843|32.567|34.980,382.5208297220988
4,30.648|32.567|34.980,382.53631636893255
3,31.196|34.980,382.7166368711371
4,30.934|33.297|34.980,383.6557171404239
4,30.469|33.297|34.980,384.02521405926296
4,30.648|33.297|34.980,384.2125330898982
4,30.125|33.297|34.980,384.2479870082944
4,29.843|33.297|34.980,384.46868670905747
4,29.537|33.297|34.980,384.8852182505716
3,32.060|33.773,387.16090290825304
3,30.934|34.980,387.5567836688098
4,29.537|31.196|34.980,387.8742218443782
4,30.469|31.196|34.980,388.21969937245024
4,30.125|31.196|34.980,388.2427160189984
4,29.843|31.196|34.980,388.2481241802931
2,33.773,388.31058530543066
3,31.711|33.773,388.4408591824195
2,34.980,389.1577399759275
3,30.648|34.980,389.65804073812404
3,30.469|34.980,390.0352838547482
3,32.567|33.773,390.778701042272
3,31.196|33.773,390.93815911777034
3,30.125|34.980,391.0941873275648
4,30.648|32.060|33.773,392.12516617244125
3,29.843|34.980,392.12996181454866
4,30.934|32.060|33.773,392.15726970994484
4,29.537|32.060|33.773,392.2571440209862
4,30.469|32.060|33.773,392.59933391154743
4,30.125|32.060|33.773,392.63355038463067
4,29.843|32.060|33.773,392.64814371449205
3,30.934|33.773,392.7269511986276
4,29.537|30.934|34.980,392.9457860638942
4,30.648|31.711|33.773,393.0230450094514
3,30.469|33.773,393.05312056954534
4,30.125|30.934|34.980,393.13189335967496
4,29.843|30.934|34.980,393.1418120735673
3,30.648|33.773,393.2311890778257
3,30.125|33.773,393.26209994566256
4,29.537|31.711|33.773,393.4385957716019
3,29.843|33.773,393.4734344684238
4,30.469|31.711|33.773,393.76664259540433
4,30.125|31.711|33.773,393.83677742423373
4,29.843|31.711|33.773,393.8726318536567
3,29.537|33.773,393.8846877216386
3,29.537|34.980,393.89456958801105
4,29.537|30.648|34.980,395.1016398213808
4,29.843|30.648|34.980,395.21838838949344
4,29.537|30.469|34.980,395.2840016092677
4,31.196|32.567|33.773,395.7077644315498
4,29.537|31.196|33.773,396.1087829388708
4,29.537|32.567|33.773,396.25152411253544
4,30.469|32.567|33.773,396.3141795323159
4,30.125|32.567|33.773,396.3317330441911
4,30.934|32.567|33.773,396.33950219433837
4,29.843|32.567|33.773,396.351019260944
4,30.648|32.567|33.773,396.3657241666452
4,30.469|31.196|33.773,396.4437747833954
4,30.125|31.196|33.773,396.4660933126982
4,29.843|31.196|33.773,396.4713374476746
4,29.537|30.934|33.773,398.1197568752468
4,30.125|30.934|33.773,398.30229369151584
4,29.537|30.469|33.773,398.30564550047734
4,29.843|30.934|33.773,398.3120221827988
4,29.537|30.648|33.773,398.67669826353256
4,29.843|30.648|33.773,398.7918943536109
3,32.060|33.297,414.24510274246444
2,33.297,415.80663916000475
3,31.711|33.297,415.95823429414355
3,31.196|33.297,418.58257612520435
4,30.648|32.060|33.297,419.2695248456498
4,30.934|32.060|33.297,419.29852519200807
4,29.537|32.060|33.297,419.3887476106038
4,30.469|32.060|33.297,419.6978928570329
4,30.125|32.060|33.297,419.7288072123978
4,29.843|32.060|33.297,419.74199230495987
3,30.934|33.297,420.33583989049276
4,30.648|31.711|33.297,420.63901154389123
3,30.469|33.297,420.65127055976626
3,30.648|33.297,420.8112047198332
3,30.125|33.297,420.8414773430972
4,29.537|31.711|33.297,421.01375835311995
3,29.843|33.297,421.0299368269856
4,30.469|31.711|33.297,421.30963388006955
4,30.125|31.711|33.297,421.37289526542344
3,29.537|33.297,421.38568265195795
4,29.843|31.711|33.297,421.4052364720939
2,32.936,421.4935584328982
4,29.537|31.196|33.297,423.79420694846357
4,30.469|31.196|33.297,424.09622211201827
4,30.125|31.196|33.297,424.1163449248315
4,29.843|31.196|33.297,424.1210731612185
3,31.711|32.936,424.28781851927306
4,29.537|30.934|33.297,425.74775342937164
4,30.125|30.934|33.297,425.912352038619
4,29.843|30.934|33.297,425.92112480468387
4,29.537|30.469|33.297,425.93668435339856
3,31.196|32.936,425.9796019803424
4,29.537|30.648|33.297,426.27062754223874
4,29.843|30.648|33.297,426.3745150789418
3,30.934|32.936,426.8785891143351
3,30.469|32.936,426.8984515211276
3,30.125|32.936,426.950706149134
3,29.843|32.936,427.00517269438427
3,30.648|32.936,427.01802345518206
3,29.537|32.936,427.04860347128744
4,30.648|31.711|32.936,428.9964842076966
4,29.537|31.711|32.936,429.3596904535535
4,30.469|31.711|32.936,429.646465392009
4,30.125|31.711|32.936,429.707782241256
4,29.843|31.711|32.936,429.73912951250054
4,29.537|31.196|32.936,431.20150320086776
4,30.469|31.196|32.936,431.4952593543179
4,30.125|31.196|32.936,431.51483220461876
4,29.843|31.196|32.936,431.5194312227358
2,32.567,432.15897941726223
4,29.537|30.469|32.936,432.1908494270573
4,29.537|30.934|32.936,432.2947483289513
4,30.125|30.934|32.936,432.45536116493935
4,29.843|30.934|32.936,432.46392156481045
4,29.537|30.648|32.936,432.48038419700316
4,29.843|30.648|32.936,432.58188390204594
2,32.060,433.1230408842196
3,31.196|32.567,437.1943212893997
3,29.537|32.567,437.6502632411614
3,30.469|32.567,437.7028093809124
3,30.125|32.567,437.7175310385767
3,30.934|32.567,437.72404686541546
3,29.843|32.567,437.7337060491733
3,30.648|32.567,437.74603892144745
3,30.648|32.060,438.19678994098587
3,30.934|32.060,438.22324633527336
3,29.537|32.060,438.3055559254428
3,30.469|32.060,438.5876065215748
3,30.125|32.060,438.61581300064364
3,29.843|32.060,438.6278432604745
4,29.537|31.196|32.567,442.4312601367714
4,30.469|31.196|32.567,442.7129237921328
4,30.125|31.196|32.567,442.73169137753075
4,29.843|31.196|32.567,442.73610119136316
4,29.537|30.469|32.567,443.0069066668373
4,29.537|30.934|32.567,443.14701852259986
4,29.537|30.648|32.567,443.2133192701037
4,30.125|30.934|32.567,443.30123595331514
4,29.843|30.934|32.567,443.3094555922853
4,29.843|30.648|32.567,443.31082051265287
4,29.537|30.934|32.060,443.64652494204483
4,29.537|30.648|32.060,443.6642726954015
4,29.843|30.648|32.060,443.7616094308241
4,30.125|30.934|32.060,443.80045421394095
4,29.843|30.934|32.060,443.8086584989893
4,29.537|30.469|32.060,443.8926410700557
2,31.711,445.8117756066905
3,30.648|31.711,450.60539912201483
3,29.537|31.711,450.9334531764993
3,30.469|31.711,451.1925036741824
3,30.125|31.711,451.2478961056232
3,29.843|31.711,451.27621508655164
4,29.537|30.648|31.711,456.07832170690654
4,29.843|30.648|31.711,456.171237179256
4,29.537|30.469|31.711,456.51055833313245
2,31.196,459.62223623581053
3,29.537|31.196,464.89408956617797
3,30.469|31.196,465.14767727657966
3,30.125|31.196,465.16457507569163
3,29.843|31.196,465.16854556357805
