outer_fold,可求解,组数,切点,推荐孕周,开发平均检测孕周,开发最低审计达标概率,开发审计达标概率,开发安全合格,安全全局最优已证明,合法完整分组数,求解器,测试平均检测孕周,测试总体达标概率,测试最低审计达标概率,测试安全合格,测试各组人数,测试审计达标概率
0,True,1,,15.142857,15.142857142857125,0.8479338978577864,0.932184|0.923062|0.899255|0.847934,False,False,1,dynamic_programming_global,15.142857142857125,0.9093905156017426,0.8366825365436151,False,67,0.9360|0.9285|0.9143|0.8367
0,True,2,33.489547,14.142857|17.285714,15.101428571428553,0.8900119479854705,0.914197|0.903791|0.890012|0.894244,True,True,137,vectorized_exhaustive_global_safe,14.752665245202538,0.9030408058037319,0.8842029860715415,False,54|13,0.9185|0.9099|0.8960|0.8842
0,True,3,30.690688|34.192081,13.571429|14.857143|17.714286,15.065714285714266,0.8932809702625257,0.902076|0.906419|0.893281|0.898566,True,True,5892,dynamic_programming_global,14.846481876332607,0.905126578427537,0.888834687557588,False,25|31|11,0.9067|0.9109|0.9088|0.8888
0,True,4,31.053463|32.903109|34.268071,13.714286|14.571429|15.428571|17.857143,15.062857142857125,0.8969041388085389,0.905243|0.898952|0.896904|0.899388,True,True,85486,dynamic_programming_global,14.818763326225996,0.9050257031235893,0.8898915736003713,False,28|20|9|10,0.9098|0.9065|0.9083|0.8899
1,True,1,,15.428571,15.42857142857141,0.8646841956144478,0.911617|0.919882|0.907459|0.864684,False,False,1,dynamic_programming_global,15.428571428571413,0.9041606393817911,0.8674506699992727,False,67,0.9187|0.9131|0.9081|0.8675
1,True,2,33.300511,14.714286|16.857143,15.378571428571409,0.892927818087673,0.898181|0.907127|0.902523|0.892928,True,True,138,dynamic_programming_global,15.289978678038358,0.9015822308793273,0.8958994895229282,True,49|18,0.9058|0.8997|0.9033|0.8959
1,True,3,31.351281|34.474670,14.571429|15.142857|17.571429,15.365714285714267,0.8952800222653022,0.895280|0.906132|0.902213|0.896720,True,True,5971,dynamic_programming_global,15.187633262260107,0.899850269412744,0.894466939876047,True,33|25|9,0.9030|0.8974|0.9028|0.8945
1,True,4,30.076771|31.675613|34.315118,14.857143|14.285714|15.000000|17.714286,15.367142857142838,0.8989595125353546,0.900587|0.898960|0.899489|0.901670,True,True,86970,dynamic_programming_global,15.18763326226011,0.8996613424717156,0.8907648293479515,True,17|17|23|10,0.9085|0.8908|0.9000|0.8991
2,True,1,,14.714286,14.714285714285698,0.8859066578819101,0.905875|0.909658|0.900675|0.885907,False,False,1,dynamic_programming_global,14.714285714285694,0.9034582544954871,0.881772104140807,False,67,0.9070|0.9161|0.9231|0.8818
2,True,2,33.783499,14.428571|15.571429,14.702857142857123,0.89504759783307,0.900411|0.904234|0.895048|0.901372,True,True,134,vectorized_exhaustive_global_safe,14.735607675906168,0.9040466285717713,0.8934961807764842,True,49|18,0.9015|0.9109|0.9181|0.8935
2,True,3,29.754825|34.440085,14.571429|14.428571|15.714286,14.693571428571413,0.89504759783307,0.902543|0.904234|0.895048|0.898559,True,True,5634,dynamic_programming_global,14.69936034115137,0.9038809958750804,0.8918343956880708,True,10|44|13,0.9035|0.9109|0.9181|0.8918
2,True,4,29.754825|30.630023|34.106468,14.571429|14.285714|14.428571|15.571429,14.691428571428554,0.89504759783307,0.901889|0.903190|0.895048|0.900023,True,True,80016,dynamic_programming_global,14.695095948827278,0.9033801146548598,0.8919966532186656,True,10|13|28|16,0.9026|0.9097|0.9181|0.8920
3,True,1,,15.285714,15.285714285714265,0.8499343386547965,0.930171|0.925491|0.900509|0.849934,False,False,1,dynamic_programming_global,15.285714285714263,0.883486192056861,0.8319499920438441,False,66,0.9248|0.9217|0.8753|0.8319
3,True,2,32.944288,14.428571|16.857143,15.213930348258689,0.8926524211369373,0.910462|0.905287|0.893510|0.892652,True,True,136,vectorized_exhaustive_global_safe,15.458874458874442,0.8904629614174576,0.8775605319296538,False,38|28,0.9042|0.9005|0.8826|0.8776
3,True,3,31.807165|34.128866,14.142857|15.571429|17.571429,15.19900497512436,0.8976011749520719,0.902936|0.897601|0.902085|0.898446,True,True,5817,dynamic_programming_global,15.515151515151494,0.8914845890824389,0.8830970799283923,False,32|13|21,0.8963|0.8924|0.8831|0.8913
3,True,4,29.555954|32.819886|34.128866,14.000000|14.428571|15.857143|17.571429,15.194740582800264,0.8920325722026431,0.903630|0.905287|0.892033|0.900133,True,True,84616,dynamic_programming_global,15.508658008657989,0.8914821473700688,0.8704450626803382,False,11|27|7|21,0.8966|0.9005|0.8704|0.8919
