outer_fold,可求解,组数,切点,推荐孕周,开发平均检测孕周,开发最低审计达标概率,开发审计达标概率,开发安全合格,安全全局最优已证明,合法完整分组数,求解器,测试平均检测孕周,测试总体达标概率,测试最低审计达标概率,测试安全合格,测试各组人数,测试审计达标概率,最小开发组人数设置
0,True,1,,15.142857,15.142857142857125,0.8479338978577864,0.932184|0.923062|0.899255|0.847934,False,False,1,dynamic_programming_global,15.142857142857125,0.9093905156017426,0.8366825365436151,False,67,0.9360|0.9285|0.9143|0.8367,1
0,True,2,33.489547,14.142857|17.285714,15.101428571428553,0.8900119479854705,0.914197|0.903791|0.890012|0.894244,True,True,194,vectorized_exhaustive_global_safe,14.752665245202538,0.9030408058037319,0.8842029860715415,False,54|13,0.9185|0.9099|0.8960|0.8842,1
0,True,3,30.690688|34.192081,13.571429|14.857143|17.714286,15.065714285714266,0.8932809702625257,0.902076|0.906419|0.893281|0.898566,True,True,18721,vectorized_exhaustive_global_safe,14.846481876332607,0.905126578427537,0.888834687557588,False,25|31|11,0.9067|0.9109|0.9088|0.8888,1
0,True,4,30.690688|31.459255|35.795244,13.571429|14.000000|15.571429|18.857143,15.057142857142843,0.8915106431586627,0.902076|0.899217|0.907653|0.891511,True,True,1198144,dynamic_programming_global,14.880597014925357,0.9056748639619626,0.8733593993811861,False,25|6|32|4,0.9067|0.9064|0.9219|0.8734,1
1,True,1,,15.428571,15.42857142857141,0.8646841956144478,0.911617|0.919882|0.907459|0.864684,False,False,1,dynamic_programming_global,15.428571428571413,0.9041606393817911,0.8674506699992727,False,67,0.9187|0.9131|0.9081|0.8675,1
1,True,2,33.300511,14.714286|16.857143,15.378571428571409,0.892927818087673,0.898181|0.907127|0.902523|0.892928,True,True,196,vectorized_exhaustive_global_safe,15.289978678038358,0.9015822308793273,0.8958994895229282,True,49|18,0.9058|0.8997|0.9033|0.8959,1
1,True,3,34.241567|34.474670,14.714286|17.714286|17.571429,15.360714285714266,0.893827423291564,0.898181|0.907127|0.893827|0.901011,True,True,19110,dynamic_programming_global,15.142857142857123,0.8989231914200457,0.8943148149176974,True,57|1|9,0.9058|0.8997|0.8943|0.8961,1
1,True,4,34.241567|34.357014|36.044734,14.714286|16.714286|17.285714|18.000000,15.359285714285695,0.893827423291564,0.898181|0.907127|0.893827|0.901021,True,True,1235780,dynamic_programming_global,15.15138592750531,0.8990455066381028,0.8943148149176974,True,57|0|5|5,0.9058|0.8997|0.8943|0.8967,1
2,True,1,,14.714286,14.714285714285698,0.8859066578819101,0.905875|0.909658|0.900675|0.885907,False,False,1,dynamic_programming_global,14.714285714285694,0.9034582544954871,0.881772104140807,False,67,0.9070|0.9161|0.9231|0.8818,1
2,True,2,37.377181,14.571429|17.428571,14.699999999999983,0.8930819318317136,0.903179|0.906983|0.897898|0.893082,True,True,192,vectorized_exhaustive_global_safe,14.742004264392307,0.9046088136759686,0.890059409453777,True,63|4,0.9043|0.9135|0.9206|0.8901,1
2,True,3,28.802200|37.377181,14.428571|14.571429|17.428571,14.687857142857128,0.8930819318317136,0.902243|0.906983|0.897898|0.893082,True,True,18336,vectorized_exhaustive_global_safe,14.735607675906166,0.9044800195966983,0.890059409453777,True,3|60|4,0.9037|0.9135|0.9206|0.8901,1
2,True,4,28.549287|29.169729|36.795017,14.000000|16.142857|14.428571|17.857143,14.68357142857141,0.89504759783307,0.904632|0.904234|0.895048|0.896299,True,True,1161280,dynamic_programming_global,14.799573560767577,0.9060239804589715,0.8958980848133572,True,2|3|56|6,0.9070|0.9109|0.9181|0.8959,1
3,True,1,,15.285714,15.285714285714265,0.8499343386547965,0.930171|0.925491|0.900509|0.849934,False,False,1,dynamic_programming_global,15.285714285714263,0.883486192056861,0.8319499920438441,False,66,0.9248|0.9217|0.8753|0.8319,1
3,True,2,32.944288,14.428571|16.857143,15.213930348258689,0.8926524211369373,0.910462|0.905287|0.893510|0.892652,True,True,193,vectorized_exhaustive_global_safe,15.458874458874442,0.8904629614174576,0.8775605319296538,False,38|28,0.9042|0.9005|0.8826|0.8776,1
3,True,3,31.633451|34.745373,14.142857|15.571429|17.857143,15.19758351101633,0.8927520631569641,0.902936|0.897601|0.907444|0.892752,True,True,18528,dynamic_programming_global,15.363636363636344,0.8874608273864861,0.879765955835797,False,32|20|14,0.8963|0.8924|0.8831|0.8798,1
3,True,4,31.807165|33.293090|34.745373,14.142857|15.428571|16.142857|17.857143,15.190476190476172,0.8976011749520719,0.902936|0.897601|0.900827|0.899050,True,True,1179616,dynamic_programming_global,15.439393939393918,0.8895172412997909,0.8826213162815559,False,32|9|11|14,0.8963|0.8924|0.8826|0.8859,1
0,True,1,,15.142857,15.142857142857125,0.8479338978577864,0.932184|0.923062|0.899255|0.847934,False,False,1,dynamic_programming_global,15.142857142857125,0.9093905156017426,0.8366825365436151,False,67,0.9360|0.9285|0.9143|0.8367,15
0,True,2,33.489547,14.142857|17.285714,15.101428571428553,0.8900119479854705,0.914197|0.903791|0.890012|0.894244,True,True,166,vectorized_exhaustive_global_safe,14.752665245202538,0.9030408058037319,0.8842029860715415,False,54|13,0.9185|0.9099|0.8960|0.8842,15
