重复,胜出方案,两组平均孕周,三组平均孕周,三组减两组_平均孕周,两组最低审计达标概率,三组最低审计达标概率,三组减两组_最低审计概率
1,参数AFT两组,15.242375601926147,15.206527554842143,-0.03584804708400391,0.891619091125885,0.8965812631372058,0.004962172011320765
2,树AFT三组,15.189406099518441,15.11128945960405,-0.07811663991439133,0.8897732360183813,0.8975312470274475,0.007758011009066146
3,树AFT三组,15.138041733547334,15.148742643124647,0.010700909577312956,0.8888686721275065,0.8986791221169562,0.009810449989449688
4,树AFT三组,15.112894596040645,15.05778491171748,-0.0551096843231651,0.8875700157094767,0.8986892419909545,0.011119226281477768
5,参数AFT两组,15.080256821829838,15.033707865168521,-0.046548956661316865,0.8917435247815653,0.8980059191546197,0.006262394373054425
6,参数AFT两组,15.149812734082378,15.205457463884413,0.05564472980203483,0.8937404347456867,0.9001346528752797,0.006394218129593066
7,参数AFT两组,15.308721241305491,15.266987693953968,-0.041733547351523015,0.8959813258898458,0.900073170452606,0.0040918445627602384
8,参数AFT两组,15.47940074906365,15.462814339218816,-0.016586409844833838,0.8952977526183065,0.8994505201857433,0.004152767567436877
9,参数AFT两组,15.17817014446226,15.138576779026199,-0.039593365436061845,0.8913113065194411,0.8952332006932567,0.00392189417381561
10,参数AFT两组,15.043873729266972,15.048689138576762,0.004815409309790297,0.8974115902145837,0.899986541960542,0.0025749517459582316
11,树AFT三组,15.08614232209736,15.086142322097361,1.7763568394002505e-15,0.8879696712071162,0.899551643964146,0.011581972757029768
12,树AFT三组,15.211878009630802,15.151952915997843,-0.05992509363295895,0.8883867673790011,0.8993558547288228,0.010969087349821716
13,参数AFT两组,14.95826645264846,14.950240770465472,-0.008025682182987381,0.8932073535158541,0.8965027134791252,0.0032953599632711272
14,参数AFT两组,15.327447833065792,15.306581059390028,-0.020866773675763284,0.8988483369319868,0.8980713325583577,-0.0007770043736291532
15,参数AFT两组,15.012841091492758,15.059390048154077,0.04654895666131864,0.8943927607508078,0.9001116272275028,0.005718866476695061
16,参数AFT两组,15.111289459604048,15.099518459069003,-0.011771000535045317,0.8928260496034195,0.8973659958717121,0.004539946268292572
17,参数AFT两组,14.990369181380402,14.995184590690192,0.004815409309790297,0.8955576734025511,0.900043746058791,0.004486072656239903
18,参数AFT两组,15.271268057784896,15.318887105403942,0.047619047619045674,0.8918387544788626,0.8987242641558375,0.006885509676974877
19,树AFT三组,15.152487961476707,15.151952915997843,-0.0005350454788644043,0.8857942673015586,0.9001416398609922,0.014347372559433524
20,参数AFT两组,15.146602461209183,15.143927233814857,-0.0026752273943255744,0.8937074510887864,0.8989323572885046,0.005224906199718271
21,树AFT三组,15.183520599250917,15.192616372391637,0.009095773140719743,0.8898532845896878,0.9001065636115434,0.010253279021855577
22,参数AFT两组,15.380417335473494,15.428571428571413,0.04815409309791896,0.8913133184100511,0.9009310281163827,0.009617709706331579
23,树AFT三组,15.162118780096291,15.133761369716408,-0.028357410379882708,0.8859500364429894,0.8991358775913088,0.013185841148319333
24,树AFT三组,15.254146602461192,15.235420010700894,-0.01872659176029856,0.8896461674452347,0.9000052889288317,0.010359121483596967
25,参数AFT两组,15.226324237560172,15.252541466024594,0.026217228464421538,0.8921119102307001,0.9009214704968925,0.008809560266192396
26,树AFT三组,15.16211878009629,15.110754414125184,-0.051364365971105386,0.8887122882523423,0.8962650339778446,0.007552745725502352
27,树AFT三组,15.004815409309776,14.995719636169056,-0.009095773140719743,0.8850180607573358,0.8944658383775955,0.009447777620259723
28,参数AFT两组,15.239165329052948,15.220973782771518,-0.018191546281430604,0.8918099565072599,0.8975232835865835,0.0057133270793235935
29,参数AFT两组,15.290529695024057,15.277153558052415,-0.013376136971642083,0.8906843609103354,0.8984114852604341,0.007727124350098702
30,树AFT三组,15.204387372926682,15.273408239700354,0.06902086677367159,0.8859210599588311,0.9005372806458491,0.014616220687018067
31,参数AFT两组,15.127875869448884,15.065275548421598,-0.0626003210272863,0.8910036960379855,0.8990447338057252,0.00804103776773979
32,树AFT三组,15.242375601926145,15.156233279828768,-0.08614232209737693,0.889262060022472,0.8996396831786434,0.010377623156171412
33,参数AFT两组,15.137506688068468,15.099518459069003,-0.03798822899946508,0.8911966154640025,0.8974424617451658,0.006245846281163314
34,树AFT三组,15.072231139646854,15.08988764044942,0.0176565008025662,0.8864519188755967,0.8985902294428563,0.012138310567259558
35,参数AFT两组,15.121990369181363,15.075976457998914,-0.04601391118244891,0.8960736194844309,0.8947494724884482,-0.0013241469959827112
36,参数AFT两组,15.199036918138024,15.184590690208653,-0.014446227929370892,0.8935994001260686,0.9005543057170591,0.0069549055909904345
37,参数AFT两组,14.983948635634015,15.06260032102727,0.07865168539325573,0.893826863248072,0.8990041168967998,0.0051772536487277865
38,参数AFT两组,15.243445692883874,15.209202782236474,-0.03424291064740004,0.8903640024611953,0.8955395966627724,0.005175594201577094
39,参数AFT两组,15.187800963081843,15.112359550561784,-0.07544141252005865,0.8949969462248593,0.8961505735895626,0.001153627364703369
40,参数AFT两组,15.32637774210806,15.286249331193135,-0.04012841091492447,0.8910128071583405,0.9004356860768084,0.009422878918467825
