可靠性q,方案,组数,切点,各组人数,各组推荐孕周,平均检测孕周,最晚检测孕周,总体平均达标概率,政策组最低达标概率,审计层最低达标概率,审计层达标概率,确定已达标比例,确定未达标比例,删失不确定比例,最小组人数合格,全部政策组达到q,审计安全约束合格,候选有效,第一约束全部合格,相对不分组提前天数
0.85,不分组,1,,267,13.286,13.285714285714276,13.285714285714274,0.8541041948960527,0.8541041948960527,0.7947944842353325,0.8793|0.8792|0.8636|0.7948,0.6479400749063671,0.09737827715355805,0.2546816479400749,True,True,False,True,False,0.0
0.85,参数AFT两组,2,34.503,219|48,12.571|15.714,13.136436597110741,15.714285714285694,0.8503080521711027,0.8502345433598492,0.8415442318418263,0.8587|0.8588|0.8424|0.8415,0.4868913857677903,0.10486891385767791,0.40823970037453183,True,True,True,True,True,1.0449438202247432
0.85,树AFT三组,3,32.060|34.279,147|66|54,12.429|13.000|15.714,13.234349919743167,15.714285714285694,0.8533184712798751,0.8526892893937934,0.8518538563577257,0.8542|0.8543|0.8519|0.8529,0.4794007490636704,0.10486891385767791,0.4157303370786517,True,True,True,True,True,0.35955056179776257
0.85,题目经验五组,5,28.000|32.000|36.000|40.000,4|140|97|21|5,12.429|12.429|13.429|16.571|17.429,13.21134296415194,17.428571428571402,0.8525816700939628,0.850182244514411,0.839008881225528,0.8542|0.8543|0.8628|0.8390,0.5280898876404494,0.10486891385767791,0.36704119850187267,False,True,False,False,False,0.5205992509363462
0.9,不分组,1,,267,15.286,15.285714285714267,15.285714285714267,0.9027114597695196,0.9027114597695196,0.8542922956563228,0.9235|0.9232|0.9102|0.8543,0.8014981273408239,0.07865168539325842,0.1198501872659176,True,True,False,True,False,0.0
0.9,参数AFT两组,2,34.503,219|48,14.571|18.000,15.187800963081843,17.99999999999997,0.9019668159308005,0.9001802289484754,0.8932897141382257,0.9098|0.9095|0.8955|0.8933,0.8314606741573034,0.06741573033707865,0.10112359550561797,True,True,True,True,True,0.6853932584269682
0.9,树AFT三组,3,32.060|34.279,147|66|54,14.286|15.000|18.000,15.213483146067398,17.99999999999997,0.9026151064699917,0.9019490129692428,0.9014236402719752,0.9037|0.9034|0.9014|0.9020,0.8314606741573034,0.06367041198501873,0.10486891385767791,True,True,True,True,True,0.5056179775280807
0.9,题目经验五组,5,28.000|32.000|36.000|40.000,4|140|97|21|5,14.571|14.286|15.429|19.000|20.143,15.185660781166384,20.142857142857107,0.901963795348894,0.9003654754925782,0.8913618277727663,0.9040|0.9034|0.9091|0.8914,0.8314606741573034,0.07116104868913857,0.09737827715355805,False,True,True,False,False,0.7003745318351839
0.95,不分组,1,,267,18.429,18.428571428571395,18.4285714285714,0.9500823470576719,0.9500823470576719,0.9178007438732511,0.9641|0.9636|0.9551|0.9178,0.898876404494382,0.033707865168539325,0.06741573033707865,True,True,False,True,False,0.0
0.95,参数AFT两组,2,34.503,219|48,17.571|21.714,18.316211878009604,21.714285714285673,0.950340542346632,0.9500667006225836,0.9450242042525148,0.9557|0.9552|0.9455|0.9450,0.9101123595505618,0.0299625468164794,0.0599250936329588,True,True,True,True,True,0.7865168539325396
0.95,树AFT三组,3,32.060|34.279,147|66|54,17.143|18.143|21.714,18.314606741572998,21.714285714285673,0.9504912772428002,0.9501421696321507,0.9497146156530101,0.9508|0.9504|0.9497|0.9510,0.9101123595505618,0.0299625468164794,0.0599250936329588,True,True,True,True,True,0.7977528089887791
0.95,题目经验五组,5,28.000|32.000|36.000|40.000,4|140|97|21|5,17.857|17.143|18.714|22.571|24.714,18.293204922418376,24.714285714285662,0.9502388079823361,0.9501524806924465,0.9441632661508818,0.9513|0.9504|0.9551|0.9442,0.9063670411985019,0.0299625468164794,0.06367041198501873,False,True,True,False,False,0.9475655430711356
