任务,标签,模型,特征集,RMSE,MAE,R2,ROC_AUC,PR_AUC,Brier,LogLoss
男胎Y浓度回归,Y_logit,ElasticNet,BIO,0.5007246820657969,0.4053681439201458,0.02253753868302899,,,,
男胎Y浓度回归,Y_logit,HGBR,BIO,0.5036264081290556,0.403881042495925,0.011175819406421317,,,,
男胎Y浓度回归,Y_logit,HGBR,BIO+QC,0.39140995089840974,0.30507402694760705,0.40273672137932703,,,,
男胎达标概率,Y>=4%,RegularizedLogit,BIO,,,,0.6037942074853715,0.8933767391768439,0.11331206813690266,0.386119188931233
男胎达标概率,Y>=4%,HGBC,BIO,,,,0.6153681963713981,0.9065224792411404,0.12117233948538862,0.4095822680461077
女胎AB标签,T13,RegularizedLogit,BIO+Z+QC,,,,0.7269595176571921,0.27362586614458595,0.2625811689608462,0.763762705882883
女胎AB标签,T13,HGBC,BIO+Z+QC,,,,0.4409991386735572,0.11333308816214072,0.23979963257889825,0.6731374850606325
女胎AB标签,T18,RegularizedLogit,BIO+Z+QC,,,,0.7834757834757834,0.556887123377996,0.26614516326876697,0.747330103194944
女胎AB标签,T18,HGBC,BIO+Z+QC,,,,0.7495726495726496,0.49178092557160363,0.2181420583485971,0.631899747669431
女胎AB标签,T21,RegularizedLogit,BIO+Z+QC,,,,0.5512345679012346,0.19058105520947372,0.34381222321921506,1.0551164525553913
女胎AB标签,T21,HGBC,BIO+Z+QC,,,,0.5197530864197532,0.11305355467784568,0.2246936842845849,0.6404090612613265
